timestamp_utc,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,DOTUSDT,LINKUSDT,AVAXUSDT,LTCUSDT,ATOMUSDT,NEARUSDT,UNIUSDT,AAVEUSDT
2026-06-18T15:24:35+00:00,,,,,,,,,,,,,,
2026-06-18T15:25:36+00:00,,,,,,,,,,,,,,
2026-06-18T15:26:36+00:00,,,,,,,,,,,,,,
2026-06-18T15:27:36+00:00,,,,,,,,,,,,,,
2026-06-18T15:29:37+00:00,,,,,,,,,,,,,,
2026-06-18T15:31:38+00:00,,,,,,,,,,,,,,
2026-06-18T15:32:38+00:00,,,,,,,,,,,,,,
2026-06-18T15:33:38+00:00,,,,,,,,,,,,,,
2026-06-18T18:39:26+00:00,,,,,,,,,,,,,,
2026-06-18T18:40:26+00:00,,,,,,,,,,,,,,
2026-06-18T18:41:26+00:00,,,,,,,,,,,,,,
2026-06-18T18:42:27+00:00,,,,,,,,,,,,,,
2026-06-18T18:43:27+00:00,,,,,,,,,,,,,,
2026-06-18T18:44:28+00:00,,,,,,,,,,,,,,
2026-06-18T18:45:28+00:00,,,,,,,,,,,,,,
2026-06-18T18:46:29+00:00,,,,,,,,,,,,,,
2026-06-18T18:47:29+00:00,,,,,,,,,,,,,,
2026-06-18T18:48:29+00:00,,,,,,,,,,,,,,
2026-06-18T20:05:29+00:00,63125,1711.26,69.56,1.15,0.083063,580.1,0.16342,7.93,6.36,0.966236,,43.57
2026-06-18T20:06:30+00:00,63118,1711.2,69.61,1.15,0.083093,580.0,0.163461,7.94,6.36,0.96652,,43.59
2026-06-18T20:07:30+00:00,63086,1709.99,69.62,1.15,0.083106,579.28,0.16347,7.94,6.36,0.966769,,43.59
2026-06-18T20:08:31+00:00,63080,1710.36,69.64,1.15,0.083136,579.2,0.163486,7.94,6.36,0.967101,,43.6
2026-06-18T20:09:31+00:00,63062,1710.1,69.65,1.15,0.083145,579.08,0.163464,7.94,6.36,0.967614,,43.6
2026-06-18T20:10:31+00:00,63052,1709.59,69.66,1.15,0.083151,579.11,0.163446,7.94,6.36,0.967615,,43.59
2026-06-18T20:11:32+00:00,63049,1709.2,69.66,1.15,0.083154,579.0,0.163434,7.94,6.36,0.967622,,43.58
2026-06-18T20:12:32+00:00,63052,1709.36,69.66,1.15,0.083161,578.99,0.163376,7.94,6.36,0.967707,,43.58
2026-06-18T20:13:32+00:00,63064,1709.66,69.64,1.15,0.083157,579.14,0.163354,7.94,6.36,0.967804,,43.57
2026-06-18T20:14:32+00:00,63066,1709.17,69.63,1.15,0.083143,579.24,0.16333,7.94,6.36,0.968164,,43.57
