timestamp_utc,wallet,market_slug,title,outcome,asset,end_date,avg_price_wallet,size_wallet,usd_cost_wallet,cur_price_gamma,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion
2026-08-27T07:12:17+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-76k-on-august-26-2026,"Will Bitcoin dip to $76,000 on August 26?",Yes,95198054086709037547495954341093682277013760960581349645474138628566501619903,2026-08-27,0.086,1380.2972,118.7503,0,,,
2026-08-27T07:12:18+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-82k-on-august-27-2026,"Will the price of Bitcoin be above $82,000 on August 27?",No,7799895550254746062938238179221162192003649625962007683116942376386579022182,2026-08-27,0.9722,1271.6858,1236.3736,0.9835,0.984,102167.25,97302.1
2026-08-27T07:12:18+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-76k-on-august-27-2026,"Will Bitcoin dip to $76,000 on August 27?",No,151906845541186447569438660574513015471506003460822590240001443161425919806,2026-08-28,0.9316,1263.43,1177.1238,0.945,0.95,5306.3,5053.6
2026-08-27T07:12:18+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-78k-on-august-27-2026,"Will Bitcoin dip to $78,000 on August 27?",No,93163550552811447499778475011589773208532351945932618242308286234216889935460,2026-08-28,0.44,1200,528,0.435,0.45,2049.8,1952.2
2026-08-27T07:12:18+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-dip-to-75k-on-august-27-2026,"Will Bitcoin dip to $75,000 on August 27?",No,36729909715623481259892335408510421771005329744822390316374272670297238111914,2026-08-28,0.987,1113.738,1099.3018,0.99,0.994,6733.47,6412.8
2026-08-27T07:12:19+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-reach-84k-on-august-27-2026,"Will Bitcoin reach $84,000 on August 27?",No,49558939013088156910732995016556836802760983697737310587390690998031872736552,2026-08-28,0.9907,1090,1079.8989,0.9915,0.994,10000.3,9524.1
2026-08-27T07:12:19+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-80k-on-august-28-2026,"Will the price of Bitcoin be above $80,000 on August 28?",Yes,39335043934082264809746393806624741014936377990970107757281599195128184220075,2026-08-28,0.33,780,257.4,0.265,0.27,4021.91,3830.4
2026-08-27T07:12:19+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-ethereum-dip-to-2400-in-august-2026-from-august-23,"Will Ethereum dip to $2,400 in August?",No,16452503807171203765163764339828725057420138646691824475076039506871221023349,2026-09-01,0.4887,680.9355,332.8141,0.485,0.5,3132.0,2982.9
2026-08-27T07:12:20+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-86k-on-august-28-2026,"Will the price of Bitcoin be above $86,000 on August 28?",No,74108782274608952815846468780881420289952799271638705209016629825230266665603,2026-08-28,0.9902,507.6451,502.7148,0.9955,0.996,598.1,569.6
2026-08-27T07:12:20+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-84k-on-august-27-2026,"Will the price of Bitcoin be above $84,000 on August 27?",No,1683371835696610501194906789366522201487398732618848910652219551638557920588,2026-08-27,0.9877,411.6068,406.5638,0.998,,0.0,0.0
2026-08-27T07:12:20+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-74k-on-august-27-2026,"Will the price of Bitcoin be above $74,000 on August 27?",No,52092480181153417639703104779765863163241471608553265462736640017451667729633,2026-08-27,0.002,400.4861,0.8017,0.0015,0.002,6.17,5.9
2026-08-27T07:12:20+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-88k-on-august-28-2026,"Will the price of Bitcoin be above $88,000 on August 28?",No,105114476124672389797745971287555170659567656097177863284126842770723730518953,2026-08-28,0.995,400,398,0.9995,,0.0,0.0
2026-08-27T07:12:21+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-86k-on-august-28-2026,"Will the price of Bitcoin be above $86,000 on August 28?",Yes,23882035764989702289360128433805805543988419421154028753458159709051325372048,2026-08-28,0.003,400,1.2,0.0045,0.005,0.0,0.0
2026-08-27T07:12:21+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-84k-on-august-27-2026,"Will the price of Bitcoin be above $84,000 on August 27?",Yes,34054889038034198623732923456190457408688275086641431819792072149928667568787,2026-08-27,0.001,400,0.4,0.002,0.001,5.66,5.4
2026-08-27T07:12:21+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-70k-on-august-27-2026,"Will the price of Bitcoin be above $70,000 on August 27?",Yes,69028969686564251119973392548458320420074631185682710991463545730126045823229,2026-08-27,0.996,400,398.4,0.9995,,0.0,0.0
2026-08-27T07:12:21+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-reach-84k-on-august-26-2026,"Will Bitcoin reach $84,000 on August 26?",Yes,109232389528190385539890463712924324654472332234520939538250966460214619995144,2026-08-27,0.0016,362.589,0.5928,0,,,
2026-08-27T07:12:22+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-bitcoin-reach-83k-on-august-27-2026,"Will Bitcoin reach $83,000 on August 27?",No,18058027270340222677139390720096723584356266629997337313547357424255072102282,2026-08-28,0.988,333.3333,329.3333,0.9885,0.991,6696.28,6377.4
2026-08-27T07:12:22+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,ethereum-up-or-down-on-august-27-2026,Ethereum Up or Down on August 27?,Up,66546883397537599225013926640684172203105960806548110477586265325935027467964,2026-08-27,0.8322,300.4014,249.9982,0.865,0.87,82.58,78.6
2026-08-27T07:12:22+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,will-ethereum-reach-2700-august-24-30-2026,"Will Ethereum reach $2,700 August 24-30?",No,48021221960387921358597448977513859645641324923130318565637127169903033877165,2026-08-31,0.8724,239,208.5111,0.855,0.86,8215.08,7823.9
2026-08-27T07:12:22+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-72k-on-august-27-2026,"Will the price of Bitcoin be above $72,000 on August 27?",Yes,92200364831218074128278054810476485634492202577291482166690110180206733786917,2026-08-27,0.9924,236,234.2217,0.9995,,0.0,0.0
2026-08-27T07:12:23+00:00,0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,bitcoin-above-68k-on-august-27-2026,"Will the price of Bitcoin be above $68,000 on August 27?",Yes,68924215077351363783407862336507106373736612453383058768070894526050040565367,2026-08-27,0.9966,174.75,174.1719,0.9995,,0.0,0.0
