timestamp_utc,market_id,condition_id,activo,marco,restante_s,ask_yes,ask_no,ask_sum,ganancia_neta_por_share,profundidad_yes_eur,profundidad_no_eur,ratio_yes_vs_stake,ratio_no_vs_stake
2026-08-03T06:24:36+00:00,3283330,0x7496d865c1a943c23b1c64aa221ca41630a79be338cf9f1320c7da6b1af643fc,ETH,5min,24.0,0.19,0.75,0.94,0.0361,0.0,15.0,0.0,14.3
2026-08-03T07:08:16+00:00,3283466,0x836ef0073a3d36daaa3350c236fee24c1e967919e91789c1d45c8f54de040f8d,BTC,5min,104.2,0.68,0.27,0.95,0.021,0.0,135.45,0.0,129.0
2026-08-03T07:12:21+00:00,3283532,0x94430098341fcc80a9cdeb0fd9ff15651346986b3892c2f849c439fd5cc958e6,ETH,5min,161.1,0.79,0.14,0.93,0.05,94.17,0.0,89.7,0.0
2026-08-03T07:12:21+00:00,3283454,0x181cc68534dbd8409ccbf2031ab13dec38ff113b911b089c59d28bbb6a8b6d96,BTC,15min,161.1,0.75,0.19,0.94,0.0361,306.37,0.0,291.8,0.0
2026-08-03T07:19:17+00:00,3283539,0x19d9a7b7f38ad7cf117633c5ffecc2886f1dc1f9d2dcc1c55da0a806ac0e75ec,DOGE,5min,42.9,0.52,0.43,0.95,0.0154,0.0,4.3,0.0,4.1
2026-08-03T09:33:06+00:00,3286032,0x91ab4978c8f6fd71239fc527362339680448c6f7a874b46046b67d3ad7b2d5ec,SOL,5min,114.5,0.51,0.29,0.8,0.1681,0.0,31.22,0.0,29.7
2026-08-03T10:53:49+00:00,3286590,0xf56da34f02b71cabbfd5f9b9f5693a96ebf18e058dfaee1f944cdba8ecc6a7d0,DOGE,5min,74.5,0.92,0.06,0.98,0.0109,0.0,0.36,0.0,0.3
2026-08-03T11:38:39+00:00,3287746,0xc9ff994ab318dcf6ecbded6eee4c7f2dbb004a7de7c3ac25b8618fabc4822a29,ETH,5min,81.3,0.14,0.8,0.94,0.0404,18.22,0.0,17.4,0.0
2026-08-03T13:09:07+00:00,3288896,0x9c82813fa5e7d3b559c242430efe99901ee0b65457a7057130ac4b9d99b7b771,SOL,5min,53.2,0.6,0.27,0.87,0.0994,0.0,6.04,0.0,5.7
2026-08-03T15:07:30+00:00,3290139,0xb2e92d2c0d6a0dc9874126ab499db715b9af815cfa1ec45c4087cf9a7e536ae6,SOL,5min,149.7,0.21,0.76,0.97,0.0056,0.0,23.4,0.0,22.3
2026-08-03T15:09:10+00:00,3290143,0x2aa9304e1c505dd6c557347bdb834204ab4a6b6c3bd9607c2d832777c81c8dc9,BTC,5min,50.0,0.19,0.77,0.96,0.0168,0.0,37.21,0.0,35.4
2026-08-04T07:44:56+00:00,3301336,0xdc787e1bd157b0c33514c41417bf1e2c138b8f435697ff83fb8bbadbbaf60a03,DOGE,15min,3.9,0.15,0.69,0.84,0.1361,0.9,0.0,0.9,0.0
2026-08-04T09:53:49+00:00,3301626,0xefc02b828791f4d3306d9998c69cb53e38175c54c2bbff591c70c981897e2a05,ETH,5min,71.4,0.93,0.05,0.98,0.0121,176.54,3.7,168.1,3.5
2026-08-04T11:39:56+00:00,3302127,0xd696ec724d5995e3f74ad995204b532e524b063fa5db33b060a257fcfb2b2770,SOL,5min,4.2,0.72,0.13,0.85,0.128,0.0,2.55,0.0,2.4
2026-08-04T15:24:29+00:00,3303115,0x25abd54d39ef08c5f037e1d88a0950d279ffd9a621591bea60393102d126866a,BTC,5min,31.4,0.27,0.69,0.96,0.0112,73.11,0.0,69.6,0.0
2026-08-04T16:57:06+00:00,3313224,0xed88f70265795c86c515fe960e284493271a340d3ba74f3a1adad4a7c3db8e1a,ETH,15min,173.9,0.76,0.19,0.95,0.0265,0.0,39.31,0.0,37.4
2026-08-04T21:44:35+00:00,3320374,0x33f800f598bb872abfc6dd905d939c3b8d8f136788913cf5a033d5f2889cd1b5,ETH,5min,24.9,0.47,0.34,0.81,0.1569,0.0,0.0,0.0,0.0
2026-08-05T00:14:01+00:00,3323548,0xdaa0f06a2d17b7c76de370d17a430b38c4859c4b5d88ab1a3e58bd9b39b403d7,SOL,5min,59.1,0.61,0.32,0.93,0.0381,0.0,10.08,0.0,9.6
2026-08-05T00:18:07+00:00,3323599,0xca94f723e0ed953ccf20024cfd7a8bac7f0cc96468dabbee613b32f0719bc845,ETH,5min,112.9,0.28,0.66,0.94,0.0302,0.0,89.1,0.0,84.9
2026-08-05T00:28:57+00:00,3323692,0x81e7152611e9906951e643e59af0822926dc9e4b801b15096606625b1c7a7e2f,BTC,5min,63.3,0.29,0.66,0.95,0.0199,0.0,0.0,0.0,0.0
2026-08-05T00:54:47+00:00,3323871,0x2f6c65efa7cd2ae3b38a91abfe77f0c0a6029355c0d722d2becdf65f0f2650fd,BTC,5min,12.3,0.89,0.09,0.98,0.0074,24.28,18.71,23.1,17.8
2026-08-05T01:17:42+00:00,3324133,0x369816b04fd7dba0ebc790b4f248c71a29c33725c5a07262ac5c2f8a6306046a,SOL,5min,137.9,0.15,0.8,0.95,0.0299,0.0,28.88,0.0,27.5
2026-08-05T01:59:43+00:00,3324322,0xb0ac529333589572b9aceb63f56a95753040ecfc980ac748c6a8d8e1816c7ea5,BTC,5min,16.6,0.89,0.09,0.98,0.0074,480.44,0.0,457.6,0.0
2026-08-05T03:04:39+00:00,3324653,0x926157244b56fe62b0b1fc3b47ab4b8d4eb3b0216dff89171f80357ad090e7c0,BTC,5min,20.4,0.91,0.07,0.98,0.0097,64.95,0.0,61.9,0.0
2026-08-05T04:59:27+00:00,3326105,0x2d30cea5c6de8bd37dd55e831fff8f04b1e904da50d2c3cb57fd39e6b74a61de,BNB,15min,32.9,0.16,0.79,0.95,0.029,0.0,8.54,0.0,8.1
2026-08-05T05:43:39+00:00,3328257,0xe3778fd52461976bd4da8b498692153457a19ab3318826d56c931ff840c21f81,SOL,5min,80.9,0.54,0.41,0.95,0.0157,0.0,2.81,0.0,2.7
2026-08-05T06:24:08+00:00,3328673,0x2a8661cdfbdefc747c7c967a945ccf191412ad396d56b98ca5d6fe4a9adc35b7,XRP,5min,52.3,0.04,0.87,0.91,0.0794,0.0,11.1,0.0,10.6
2026-08-05T08:39:14+00:00,3329530,0x3d955a0447d60f44e492c1134fd0ad92c5da38fa7f2c5121f9af7788fb18c8bd,XRP,5min,61.2,0.77,0.11,0.88,0.1007,0.0,4.03,0.0,3.8
2026-08-05T08:39:15+00:00,3329529,0x7425fe1054c3409d029eedab3f4f629b663fecc858a9ba32dd9816b49705faf4,DOGE,5min,61.2,0.49,0.33,0.82,0.147,0.0,8.25,0.0,7.9
