timestamp_utc,market_id,condition_id,activo,marco,end_date,restante_s,ask_yes,ask_no,ask_sum,bid_yes,bid_no
2026-07-28T12:37:20+00:00,3117016,0x0f1edeef156ceb4c6fbfd7bee13c6d1850ac950a32b565c6de490a8a7ffc5ec3,BTC,60min,2026-07-28T13:00:00+00:00,1359.8,0.45,0.56,1.01,0.44,0.55
2026-07-28T12:37:20+00:00,3117019,0xd6b99375a4185d0edf71dc16fe55fbbfe396f2d83d50b65bcf1ccd411dee2fbb,BTC,60min,2026-07-28T14:00:00+00:00,4959.5,0.53,0.5,1.03,0.5,0.47
2026-07-28T12:37:20+00:00,3117023,0x81f726f1612e105296d367de9216376ef8613da5d49373d38f36d5bca545399e,BTC,60min,2026-07-28T15:00:00+00:00,8559.3,0.51,0.51,1.02,0.49,0.49
2026-07-28T12:37:20+00:00,3117028,0x4fe1691d5e96e24c61693d091dcc2553787fc5b7c44f1e4d6ec135d84b013e17,BTC,60min,2026-07-28T16:00:00+00:00,12159.1,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:37:21+00:00,3117032,0xa23395869f1c91711a3017deb49cb9a33c60df9299c8bde516ead9140a2c2b2a,BTC,60min,2026-07-28T17:00:00+00:00,15758.9,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:37:21+00:00,3117035,0x28d77fc3d2688ab88d5facd33469307d3d090dbd3ff49027f98c292db18cd128,BTC,60min,2026-07-28T18:00:00+00:00,19358.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:37:21+00:00,3117039,0xad516d4180c9828a645a35d1ae0735c8732f4f60333c71fb74d11a8b856da457,BTC,60min,2026-07-28T19:00:00+00:00,22958.4,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:37:21+00:00,3117044,0x70d8c5f3b2d1e23765f59b05f7d3d3a217213ca1c01c758c20df20ad289f813d,BTC,60min,2026-07-28T20:00:00+00:00,26558.1,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:37:22+00:00,3118219,0x48bd4cae61b8e87c2b9e1664e2d29f0a91c1e9d5b28bc0d1d003c2538a2abf33,BTC,60min,2026-07-28T21:00:00+00:00,30157.9,0.5,0.51,1.01,0.49,0.5
2026-07-28T12:37:22+00:00,3120797,0x9c4edaf56d86cba22c8d3f29c5c86d09f89d4a7093c807db53056d9b7b888d2b,BTC,60min,2026-07-28T23:00:00+00:00,37357.7,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:37:22+00:00,3121325,0x8adbbb41421feb80fe79f6dfdb274b4ecd81e8ea26702fac61305bd2e3df3c21,BTC,60min,2026-07-29T00:00:00+00:00,40957.6,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:37:22+00:00,3122002,0x2c3d5a499e6bfccd0d298fc24acc681e59ed4e1342c1b9dfbc2beac2911b0af2,BTC,60min,2026-07-28T22:00:00+00:00,33757.2,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:37:23+00:00,3122008,0xeabbcdf011cf53a86a56a68fe026bd4993b68fec883b72015aca14e47e61481a,BTC,60min,2026-07-29T01:00:00+00:00,44556.9,0.51,0.5,1.01,0.5,0.49
2026-07-28T12:37:23+00:00,3117062,0x5c2940fcb9a94b4ae2c22116cce395d42330d39a3d55bc2715e704b4d6c951d0,ETH,60min,2026-07-28T13:00:00+00:00,1356.7,0.86,0.15,1.01,0.85,0.14
2026-07-28T12:37:23+00:00,3117066,0xe4126b2d37f69c002c566155540cf3682b5d2be7c4abb6eafa7ed1b2d5dec56a,ETH,60min,2026-07-28T14:00:00+00:00,4956.5,0.53,0.53,1.06,0.47,0.47
2026-07-28T12:37:23+00:00,3117069,0x891406ad1ff84af416a06f91a5c6c232627df41aa5135f36a3b446c326860554,ETH,60min,2026-07-28T15:00:00+00:00,8556.3,0.51,0.5,1.01,0.5,0.49
