timestamp_utc,tipo,event,end_date,n_brackets,suma_yes,profit_pct,liq_min,liq_total,rango_min,rango_max
2026-06-29T13:24:21+00:00,OVERROUND,Ethereum price on July 4?,2026-07-04,9,1.972,-99.2,20.0,3412.0,1200,2100
2026-06-29T13:24:21+00:00,OVERROUND,Ethereum price on July 3?,2026-07-03,9,1.8665,-88.65,53.0,3316.0,1100,2000
2026-06-29T13:24:21+00:00,OVERROUND,Ethereum price on July 2?,2026-07-02,9,1.2415,-26.15,39.0,3834.0,1100,2000
2026-06-29T13:24:21+00:00,OVERROUND,Ethereum price on July 1?,2026-07-01,9,1.1505,-17.05,43.0,3422.0,1200,2100
2026-06-29T13:24:21+00:00,OVERROUND,Solana price on July 2?,2026-07-02,9,1.087,-10.7,158.0,23171.0,110,110
2026-06-29T13:24:21+00:00,OVERROUND,Solana price on July 3?,2026-07-03,9,1.0845,-10.45,2772.0,25793.0,110,120
2026-06-29T13:24:21+00:00,OVERROUND,Ethereum price on June 30?,2026-06-30,9,1.0795,-9.95,374.0,58204.0,1200,2100
2026-06-29T13:24:21+00:00,OVERROUND,Solana price on July 4?,2026-07-04,9,1.058,-7.8,2770.0,25902.0,110,120
2026-06-29T13:24:21+00:00,OVERROUND,Ethereum price on June 29?,2026-06-29,9,1.032,-5.2,4431.0,87433.0,1300,2200
2026-06-29T13:24:21+00:00,OVERROUND,Solana price on June 30?,2026-06-30,9,1.028,-4.8,369.0,55902.0,110,110
