timestamp_utc,trade_timestamp,wallet,tipo,edge_pp_validado,n_validado,activo,marco,mirror_lado,market_slug,lag_ws_ms,lag_deteccion_a_decision_ms,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,stake_dryrun_eur,tupla_sintetica,en_whitelist_real,puede_operar_ventana
2026-08-03T20:49:44.140+00:00,2026-08-03T20:49:43.000+00:00,0x9412cdfc1e3171e1aabb013d0f494986445d0cd0,SEGUIR,5.037,1610,BTC,15min,Down,btc-updown-15m-1785789900,1140.2,213.21,241.1,0.95,259.4,0.95,0.0,1,1.05,WALLET_MIRROR#BTC#15min#BUY_Down,0,False
2026-08-03T20:50:36.309+00:00,2026-08-03T20:50:35.000+00:00,0xfcdc071df7080c214196bb0b3b751e5417f9d8e3,SEGUIR,5.425,1134,SOL,5min,Down,sol-updown-5m-1785790200,1309.4,236.38,0.0,0.5,0.0,0.5,0.0,0,1.05,WALLET_MIRROR#SOL#5min#BUY_Down,0,False
2026-08-03T20:50:41.107+00:00,2026-08-03T20:50:40.000+00:00,0x90d420b108448e5472b39131b701a3eb2d6ec7c8,SEGUIR,7.942,357,BTC,5min,Up,btc-updown-5m-1785790200,1107.0,328.29,1569.1,0.44,320.0,0.45,2.273,1,1.05,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:50:48.360+00:00,2026-08-03T20:50:47.000+00:00,0x57f2faf2eb75fd26bce0b5baf5ee7ffaadd66356,SEGUIR,9.284,1051,BTC,5min,Down,btc-updown-5m-1785790200,1360.5,234.0,561.2,0.59,563.5,0.59,0.0,1,1.05,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:50:49.758+00:00,2026-08-03T20:50:49.000+00:00,0x12c2782b74d3b2a051b55be2e5167970ace01381,SEGUIR,28.265,88,BTC,5min,Down,btc-updown-5m-1785790200,758.8,256.15,0.0,0.62,0.0,0.62,0.0,0,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:51:07.719+00:00,2026-08-03T20:51:07.000+00:00,0x9a1a3a66acad17bf5e61a073db8dd48fca7adbd1,SEGUIR,18.749,82,BTC,5min,Down,btc-updown-5m-1785790200,719.3,229.76,774.2,0.61,774.2,0.61,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:51:15.809+00:00,2026-08-03T20:51:15.000+00:00,0x8856e15c9bbdd939cb98e2776f725f502aaef6ad,SEGUIR,12.179,2494,BTC,5min,Down,btc-updown-5m-1785790200,809.8,234.44,479.2,0.59,479.2,0.59,0.0,1,1.34,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:51:56.277+00:00,2026-08-03T20:51:55.000+00:00,0x96e0874058ebaadc9cfb57cfe2cb242960ebcdd9,SEGUIR,15.853,80,ETH,5min,Down,eth-updown-5m-1785790200,1277.4,245.28,11.2,0.51,11.2,0.51,0.0,1,1.75,WALLET_MIRROR#ETH#5min#BUY_Down,0,False
2026-08-03T20:52:51.356+00:00,2026-08-03T20:52:51.000+00:00,0x0c7f0327ca81d86522fa893dbf6daa208c9eafca,SEGUIR,1.659,1080,BTC,60min,Down,bitcoin-up-or-down-august-3-2026-4pm-et,356.5,233.8,6937.9,0.97,6937.9,0.97,0.0,1,1.05,WALLET_MIRROR#BTC#60min#BUY_Down,0,False
2026-08-03T20:53:34.928+00:00,2026-08-03T20:53:34.000+00:00,0x127bc69b51601504f52afff08f1868cfbcae46ac,SEGUIR,24.788,40,BTC,5min,Down,btc-updown-5m-1785790200,928.5,250.49,0.0,0.79,0.0,0.79,0.0,0,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:53:35.182+00:00,2026-08-03T20:53:34.000+00:00,0x73e40b377cf4ac7034d0afaf66abb58f3424fb79,SEGUIR,7.212,302,BTC,5min,Up,btc-updown-5m-1785790200,1182.7,239.31,2.8,0.22,1.8,0.22,0.0,0,1.05,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:54:12.465+00:00,2026-08-03T20:54:12.000+00:00,0x95f51617e900f7d4df2894d77a73c1b2b269779f,SEGUIR,24.032,73,BTC,5min,Up,btc-updown-5m-1785790200,465.2,197.43,48.3,0.11,53.5,0.11,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Up,0,False
2026-08-03T20:55:04.595+00:00,2026-08-03T20:55:04.000+00:00,0x127bc69b51601504f52afff08f1868cfbcae46ac,SEGUIR,24.788,40,BTC,5min,Down,btc-updown-5m-1785790500,595.6,249.41,349.5,0.43,360.2,0.43,0.0,1,2.0,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:55:06.479+00:00,2026-08-03T20:55:06.000+00:00,0x96e0874058ebaadc9cfb57cfe2cb242960ebcdd9,SEGUIR,15.853,80,ETH,5min,Down,eth-updown-5m-1785790500,479.5,237.34,20.2,0.4,20.2,0.4,0.0,1,1.75,WALLET_MIRROR#ETH#5min#BUY_Down,0,False
2026-08-03T20:56:00.687+00:00,2026-08-03T20:56:00.000+00:00,0x8856e15c9bbdd939cb98e2776f725f502aaef6ad,SEGUIR,12.179,2494,BTC,5min,Down,btc-updown-5m-1785790500,687.9,221.91,409.0,0.26,417.5,0.26,0.0,1,1.34,WALLET_MIRROR#BTC#5min#BUY_Down,0,False
2026-08-03T20:57:06.203+00:00,2026-08-03T20:57:05.000+00:00,0xfcdc071df7080c214196bb0b3b751e5417f9d8e3,SEGUIR,5.425,1134,SOL,5min,Up,sol-updown-5m-1785790500,1203.1,219.4,0.0,0.5,0.0,0.5,0.0,0,1.05,WALLET_MIRROR#SOL#5min#BUY_Up,0,False
