veto_timestamp_utc,market_id,strategy,subtype,direction,motivo_origen,precio_plan,stake_eur,ratio_inicial,muestras_json,mejora_detectada,t_mejora_s,ratio_max
2026-08-02T16:03:43+00:00,3264358,BALLENAS_CONFIRMADAS_15M,XRP#15min,BUY_YES,candidato_evaluacion,0.08,1.05,2.9,"[[5.0,3.5,0.08],[10.1,3.5,0.08],[15.2,3.5,0.08],[20.3,1.4,0.06],[25.5,2.6,0.06],[30.6,1.1,0.08],[35.7,1.6,0.08],[40.7,1.2,0.08],[45.8,1.6,0.08],[50.9,1.2,0.08],[56.0,0.0,0.12],[61.1,0.0,0.13]]",0,,3.5
2026-08-02T16:06:54+00:00,3264372,FAVORITO_CONFIRMADO,ETH#5min,BUY_YES,candidato_evaluacion,0.55,1.05,2.7,"[[5.0,0.0,0.71],[10.1,0.0,0.82],[15.2,0.0,0.81],[20.3,0.0,0.86],[25.4,0.0,0.87],[30.6,0.0,0.9],[35.7,0.0,0.9],[40.7,0.0,0.92],[45.9,0.0,0.92],[51.0,0.0,0.93],[56.1,0.0,0.97],[61.2,0.0,0.98]]",0,,2.7
2026-08-02T16:06:54+00:00,3264371,FAVORITO_CONFIRMADO,XRP#5min,BUY_YES,candidato_evaluacion,0.58,1.05,0.0,"[[5.0,0.0,0.75],[10.1,0.0,0.83],[15.2,0.0,0.82],[20.3,0.0,0.85],[25.5,0.0,0.87],[30.6,0.0,0.9],[35.7,0.0,0.91],[40.8,0.0,0.91],[46.3,0.0,0.91],[51.4,0.0,0.91],[56.5,0.0,0.95],[61.6,0.0,0.95]]",0,,0.0
2026-08-02T16:06:58+00:00,3264358,GBM_LATE_15M,XRP#15min,BUY_NO,candidato_evaluacion,0.5,1.05,0.0,"[[5.0,0.0,0.96],[10.1,0.0,0.96],[15.3,0.0,0.96],[20.4,0.0,0.93],[25.7,0.0,0.93],[30.8,0.0,0.93],[35.9,0.0,0.93],[41.0,0.0,0.93],[46.0,0.0,0.95],[51.1,0.0,0.95],[56.2,0.0,0.94],[61.3,0.0,0.94]]",0,,0.0
2026-08-02T16:06:57+00:00,3264358,UPDOWN_GBM,XRP#15min,BUY_NO,candidato_evaluacion,0.5,1.05,0.0,"[[5.0,0.0,0.96],[10.1,0.0,0.96],[15.3,0.0,0.96],[20.4,0.0,0.93],[25.7,0.0,0.93],[30.8,0.0,0.93],[35.9,0.0,0.93],[41.0,0.0,0.93],[46.1,0.0,0.95],[51.2,0.0,0.94],[56.2,0.0,0.94],[61.3,0.0,0.94]]",0,,0.0
2026-08-02T16:06:55+00:00,3264370,FAVORITO_CONFIRMADO,SOL#5min,BUY_NO,candidato_evaluacion,0.56,1.05,0.0,"[[5.0,84.5,0.42],[10.1,175.4,0.25],[15.3,406.4,0.21],[20.5,444.1,0.19],[25.7,449.1,0.19],[30.8,461.8,0.2],[36.1,466.1,0.2],[41.2,487.9,0.19],[46.3,425.7,0.19],[51.4,511.2,0.17],[56.5,558.6,0.11],[61.6,488.4,0.12]]",1,5.0,558.6
2026-08-02T16:06:56+00:00,3241259,FAVORITO_CONFIRMADO,SOL#60min,BUY_NO,candidato_evaluacion,0.695,1.05,0.0,"[[5.0,71.3,0.7],[10.1,201.7,0.68],[15.3,286.6,0.64],[20.4,286.6,0.64],[25.7,286.6,0.64],[30.8,264.5,0.65],[36.1,281.6,0.64],[41.2,298.8,0.64],[46.4,286.6,0.64],[51.5,286.6,0.64],[56.6,337.3,0.62],[61.7,372.4,0.6]]",1,5.0,372.4
2026-08-02T16:06:56+00:00,3264353,FAVORITO_CONFIRMADO,SOL#240min,BUY_NO,candidato_evaluacion,0.575,1.05,0.0,"[[5.0,0.0,0.63],[10.1,3.4,0.59],[15.2,3.4,0.59],[20.5,3.3,0.58],[25.7,3.3,0.58],[30.8,3.3,0.58],[36.1,0.0,0.61],[41.2,3.3,0.58],[46.5,0.0,0.61],[51.6,0.0,0.61],[56.7,3.3,0.58],[61.8,0.0,0.61]]",0,,3.4
2026-08-02T16:06:58+00:00,3264361,GBM_LATE_15M,DOGE#15min,BUY_NO,candidato_evaluacion,0.5,1.05,0.0,"[[5.0,0.0,0.97],[10.1,0.0,0.94],[15.2,0.0,0.94],[20.3,0.0,0.94],[25.4,0.0,0.94],[30.4,0.0,0.94],[35.6,0.0,0.94],[40.7,0.0,0.94],[45.8,0.0,0.94],[50.9,0.0,0.77],[55.9,0.0,0.79],[61.0,0.0,0.89]]",0,,0.0
2026-08-02T16:08:25+00:00,3264364,GBM_LATE_15M_TARDIO,ETH#15min,BUY_YES,candidato_evaluacion,0.185,1.05,0.0,"[[5.0,0.0,0.23],[10.1,0.0,0.23],[15.2,0.0,0.23],[20.3,0.0,0.23],[25.4,0.0,0.23],[30.5,0.0,0.23],[35.5,0.0,0.29],[40.6,0.0,0.34],[45.7,0.0,0.27],[50.9,0.0,0.23],[56.0,0.0,0.28],[61.1,0.0,0.26]]",0,,0.0
