timestamp_utc,instrument_id,symbol,category,volume,open_price
2026-09-11T00:00:03+00:00,1,SP500-USD,index,2926067.1915369974,7646.5
2026-09-11T00:00:03+00:00,2,GOLD-USD,commodity,2707793.895118862,4398.8
2026-09-11T00:00:03+00:00,3,WTIOIL-USD,commodity,4843475.430409769,94.68
2026-09-11T00:00:03+00:00,4,NAS100-USD,index,5267515.103860019,29466
2026-09-11T00:00:03+00:00,5,SILVER-USD,commodity,7162666.679792272,67.34
2026-09-11T00:00:03+00:00,6,BTC-USD,crypto,5967264.877597544,78288
2026-09-11T00:00:03+00:00,7,ETH-USD,crypto,6462444.05607495,2466.3
2026-09-11T00:00:03+00:00,8,SOL-USD,crypto,3668587.9201500043,101.45
2026-09-11T00:00:03+00:00,9,SPCX-USD,equity,629324.7409759994,146.76
2026-09-11T00:00:03+00:00,10,HYPE-USD,crypto,4837266.128370319,83.517
2026-09-11T00:00:03+00:00,11,MU-USD,equity,1172323.2700829976,1015.6
2026-09-11T00:00:03+00:00,13,SKHY-USD,equity,811113.0768289999,195.97
2026-09-11T00:00:03+00:00,14,SKHYNIX-USD,equity,2759298.4670299953,1403.4
2026-09-11T00:00:03+00:00,15,AAPL-USD,equity,760255.6434689999,317.93
2026-09-11T00:00:03+00:00,16,MSFT-USD,equity,1675322.511576999,492.35
2026-09-11T00:00:03+00:00,17,GOOG-USD,equity,2143458.8592670024,331.57
2026-09-11T00:00:03+00:00,18,AMZN-USD,equity,773157.2580889994,252.92
2026-09-11T00:00:03+00:00,19,NVDA-USD,equity,2026535.4983989997,223.63
2026-09-11T00:00:03+00:00,20,META-USD,equity,3375256.31828201,648.83
2026-09-11T00:00:03+00:00,21,TSLA-USD,equity,1394928.1894659954,366.72
2026-09-11T00:00:03+00:00,22,AMD-USD,equity,1013472.8487960005,521.29
2026-09-11T00:00:03+00:00,23,INTC-USD,equity,4027787.624103999,105.41
2026-09-11T00:00:03+00:00,24,AVGO-USD,equity,443190.34347500006,364.14
2026-09-11T00:00:03+00:00,25,QCOM-USD,equity,2925289.368565001,176.52
2026-09-11T00:00:03+00:00,26,ARM-USD,equity,601989.3483549998,264.5
2026-09-11T00:00:03+00:00,27,TSM-USD,equity,29249.836607000005,434.93
2026-09-11T00:00:03+00:00,28,ASML-USD,equity,291741.862383,1734.8
