market_id,subtype,prediction_timestamp,outcome_real,n_wallets_sospechosas_activas,wallets_vistas,resultado_shadow,es_forward
2843933,SOL#15min,2026-07-09T09:33:29+00:00,NO,0,,PERDIDA,0
2843939,ETH#15min,2026-07-09T09:33:06+00:00,NO,0,,PERDIDA,0
2843891,ETH#15min,2026-07-09T09:26:34+00:00,YES,7,0x0d7dfb4f0299335c81991c8c011df5d7cebb15c0;0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0x704849e569f6007fee277c2a5ffcf1d9f3e853e0;0xce25e214d5cfe4f459cf67f08df581885aae7fdc;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
2843893,SOL#15min,2026-07-09T09:18:32+00:00,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA,0
2843863,SOL#15min,2026-07-09T09:03:15+00:00,NO,0,,PERDIDA,0
2843734,ETH#15min,2026-07-09T08:33:27+00:00,NO,0,,PERDIDA,0
2843702,ETH#15min,2026-07-09T08:19:43+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2843609,ETH#15min,2026-07-09T07:48:21+00:00,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x43d20d9b2b701ec2a01d53a1d675a10cc860d3fa,PERDIDA,0
2843511,ETH#15min,2026-07-09T07:18:53+00:00,NO,0,,PERDIDA,0
2843409,SOL#15min,2026-07-09T06:48:19+00:00,YES,0,,GANANCIA,0
2843413,ETH#15min,2026-07-09T06:48:19+00:00,YES,0,,GANANCIA,0
2843006,ETH#15min,2026-07-09T06:39:58+00:00,YES,0,,GANANCIA,0
2842981,SOL#15min,2026-07-09T06:18:41+00:00,YES,1,0xb798fd5d803d52a15b2708d24b54c4216fe237ca,GANANCIA,0
2842973,ETH#15min,2026-07-09T06:17:59+00:00,YES,0,,GANANCIA,0
2842845,ETH#15min,2026-07-09T06:03:06+00:00,NO,0,,PERDIDA,0
2842685,ETH#15min,2026-07-09T05:49:53+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
2842673,SOL#15min,2026-07-09T05:48:05+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x5c3d055aee56f79d755a9388b8dbf483fce9182c;0xb798fd5d803d52a15b2708d24b54c4216fe237ca,GANANCIA,0
2842557,ETH#15min,2026-07-09T05:11:41+00:00,YES,3,0x0d7dfb4f0299335c81991c8c011df5d7cebb15c0;0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
2841506,SOL#15min,2026-07-09T04:50:27+00:00,YES,4,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0x5c3d055aee56f79d755a9388b8dbf483fce9182c;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2841433,SOL#15min,2026-07-09T04:32:57+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xb798fd5d803d52a15b2708d24b54c4216fe237ca,GANANCIA,0
2841439,ETH#15min,2026-07-09T04:32:57+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xe5fdb42ce16299be4c3d1a52ecc0ade4f603842d,GANANCIA,0
2841297,ETH#15min,2026-07-09T04:03:28+00:00,YES,0,,GANANCIA,0
2840792,SOL#15min,2026-07-09T03:51:59+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2840793,ETH#15min,2026-07-09T03:51:20+00:00,NO,0,,PERDIDA,0
2840727,SOL#15min,2026-07-09T03:33:05+00:00,YES,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x704849e569f6007fee277c2a5ffcf1d9f3e853e0,GANANCIA,0
2840724,ETH#15min,2026-07-09T03:33:05+00:00,YES,0,,GANANCIA,0
2840689,ETH#15min,2026-07-09T03:18:03+00:00,YES,0,,GANANCIA,0
2840658,SOL#15min,2026-07-09T03:03:17+00:00,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2840440,SOL#15min,2026-07-09T02:18:27+00:00,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2840446,ETH#15min,2026-07-09T02:18:27+00:00,NO,0,,PERDIDA,0
2839989,SOL#15min,2026-07-09T01:17:59+00:00,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x43d20d9b2b701ec2a01d53a1d675a10cc860d3fa;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2839977,ETH#15min,2026-07-09T01:17:59+00:00,NO,0,,PERDIDA,0
2839905,SOL#15min,2026-07-09T01:03:07+00:00,YES,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,GANANCIA,0
2839771,ETH#15min,2026-07-09T00:50:23+00:00,NO,3,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x634ca733fa43fac1ad98f3cf948e931d4628c89f;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2839777,SOL#15min,2026-07-09T00:48:17+00:00,YES,0,,GANANCIA,0
2839621,SOL#15min,2026-07-09T00:33:49+00:00,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA,0
2839623,ETH#15min,2026-07-09T00:33:26+00:00,NO,0,,PERDIDA,0
