par,n,var1,var2,delta_var,mean1,mean2,delta_mean
GBM_LATE_15M_ESPACIO_ATR#XRP#15min#BUY_YES,207,2.7463,3.0574,0.311,0.9301,0.9711,0.0409
GBM_LATE_60M#ETH#60min#BUY_NO,48,0.6399,0.3396,-0.3004,-0.1752,-0.2476,-0.0724
PRICE_TARGET_GBM#ETH#atexpiry#BUY_NO,36,0.2869,0.0026,-0.2843,-0.0759,-0.5276,-0.4516
UPDOWN_GBM#ETH#60min#BUY_YES,39,0.7971,0.5131,-0.284,0.1843,-0.2415,-0.4258
ORDER_FLOW_5M#BTC#5min#BUY_NO,188,0.2578,0.5204,0.2626,0.0399,-0.0213,-0.0613
ORDER_FLOW_5M#SOL#5min#BUY_NO,230,0.2539,0.48,0.2261,0.0516,0.0949,0.0433
UPDOWN_GBM#DOGE#15min#BUY_NO,50,0.952,1.1534,0.2015,-0.1322,0.0006,0.1328
GBM_LATE_15M#SOL#15min#BUY_YES,647,2.1769,2.354,0.1772,0.4423,0.2102,-0.2321
GBM_LATE_15M_ESPACIO_ATR#XRP#15min#BUY_NO,217,2.8239,2.6898,-0.1341,1.0774,1.1137,0.0363
GBM_LATE_60M#BTC#60min#BUY_NO,46,0.7849,0.9055,0.1206,-0.1419,0.1661,0.308
STREAK_MOM_5M#SOL#5min#BUY_NO,60,0.4259,0.5439,0.118,0.0726,-0.0276,-0.1002
ORDER_FLOW_5M#BNB#5min#BUY_NO,102,0.2322,0.3448,0.1126,0.1787,-0.0791,-0.2578
LEADLAG_BTC_XRP_15M#XRP#15min#BUY_YES,70,0.3778,0.4855,0.1076,0.0053,0.14,0.1347
ORDER_FLOW_5M#XRP#5min#BUY_NO,128,0.2566,0.3512,0.0946,0.0085,-0.0393,-0.0478
GBM_LATE_60M#ETH#60min#BUY_YES,54,0.4385,0.4802,0.0417,0.0395,-0.1441,-0.1836
GBM_LATE_60M#BTC#60min#BUY_YES,68,0.9773,1.0131,0.0357,0.113,0.0327,-0.0803
ORDER_FLOW_5M#DOGE#5min#BUY_NO,123,0.2537,0.2888,0.0351,-0.0344,0.0552,0.0896
ORDER_FLOW_5M#ETH#5min#BUY_NO,106,0.2593,0.2845,0.0252,-0.015,0.0092,0.0243
STREAK_MOM_5M#SOL#5min#BUY_YES,49,0.2613,0.2411,-0.0202,-0.0096,-0.1492,-0.1396
ORDER_FLOW_5M#BTC#5min#BUY_YES,103,0.2499,0.2366,-0.0133,-0.0052,-0.1292,-0.1239
ORDER_FLOW_5M#DOGE#5min#BUY_YES,93,0.2553,0.2493,-0.006,0.012,-0.0849,-0.0968
STREAK_MOM_5M#XRP#5min#BUY_NO,51,0.2272,0.2216,-0.0057,-0.1896,-0.2023,-0.0127
STREAK_MOM_5M#ETH#5min#BUY_YES,48,0.2491,0.2443,-0.0049,-0.097,-0.1353,-0.0383
STREAK_MOM_5M#ETH#5min#BUY_NO,55,0.2623,0.2663,0.004,0.0115,-0.0383,-0.0499
ORDER_FLOW_5M#BNB#5min#BUY_YES,96,0.2603,0.2639,0.0036,-0.0224,0.0515,0.0739
ORDER_FLOW_5M#ETH#5min#BUY_YES,153,0.2481,0.2452,-0.0029,-0.0406,-0.0726,-0.0319
ORDER_FLOW_5M#SOL#5min#BUY_YES,94,0.2496,0.2478,-0.0017,0.0169,-0.0674,-0.0842
ORDER_FLOW_5M#XRP#5min#BUY_YES,65,0.2552,0.2567,0.0015,-0.0128,-0.0547,-0.0419
