market_id,strategy,subtype,direction,ts_exec,outcome_real,resultado_nuestro,n_validadas_lado_ganador,n_validadas_lado_perdedor,lag_min_ganador_s,lags_ganador_s
2768878,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-03T14:03:38+00:00,NO,PERDIDA,14,7,18.0,249.0;80.0;68.0;59.0;56.0;56.0;53.0;53.0;53.0;45.0;32.0;-18.0;-144.0;-148.0
2768978,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-03T14:19:53+00:00,NO,PERDIDA,10,21,1.0,287.0;285.0;-1.0;-46.0;-46.0;-195.0;-196.0;-246.0;-250.0;-279.0
2768981,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-03T14:20:39+00:00,NO,GANANCIA,30,32,7.0,289.0;236.0;155.0;155.0;155.0;116.0;116.0;116.0;77.0;73.0;73.0;55.0;52.0;47.0;47.0;46.0;44.0;41.0;41.0;41.0;41.0;40.0;40.0;38.0;7.0;-13.0;-14.0;-28.0;-28.0;-29.0
2769104,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-03T14:39:17+00:00,YES,PERDIDA,0,0,,
2769143,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-03T14:54:10+00:00,YES,PERDIDA,0,0,,
2769186,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-03T15:18:13+00:00,NO,PERDIDA,31,11,39.0,124.0;96.0;91.0;39.0;-39.0;-47.0;-48.0;-50.0;-50.0;-51.0;-53.0;-53.0;-54.0;-56.0;-56.0;-114.0;-116.0;-117.0;-117.0;-119.0;-120.0;-122.0;-123.0;-126.0;-128.0;-131.0;-132.0;-134.0;-137.0;-140.0;-182.0
2798762,UPDOWN_GBM,ETH#15min,BUY_NO,2026-07-05T19:28:49+00:00,YES,PERDIDA,6,1,84.0,121.0;121.0;112.0;97.0;85.0;84.0
2798754,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-05T19:35:20+00:00,YES,GANANCIA,21,1,91.0,254.0;254.0;252.0;251.0;249.0;249.0;249.0;248.0;246.0;246.0;245.0;243.0;242.0;242.0;-91.0;-91.0;-91.0;-216.0;-217.0;-217.0;-289.0
2799020,GBM_LATE_15M,XRP#15min,BUY_YES,2026-07-05T19:50:14+00:00,YES,GANANCIA,9,5,51.0,237.0;236.0;75.0;75.0;75.0;74.0;51.0;-243.0;-265.0
2799021,GBM_LATE_15M,SOL#15min,BUY_YES,2026-07-05T19:50:38+00:00,YES,GANANCIA,5,4,8.0,84.0;59.0;27.0;8.0;8.0
