fecha,wallet,nombre,pnl_neto,roi_sobre_comprado,buy_usd,sell_usd,redeem_usd,buy_n,sell_n,redeem_n,pct_maker,mercados_unicos,span_h,trades_por_mercado_mediana,precio_buy_mediana,pct_precio_lt010,pct_precio_045_055,pct_precio_gte070,seg_ventana_restante_pct_mediana,en_leaderboard_hoy,pnl_leaderboard_rank
2026-07-10,0xee65685de42f8de9a03b4c53ee77d56a20d2cfc9,0x50f7,-152.83,-0.0005,309986.1,0.0,309833.3,2656,0,344,0.845,313,9.0,2,0.06,0.666,0.127,0.202,0.183,1,3
2026-07-10,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,Bonereaper,4083.76,0.0584,69944.5,0.0,74028.2,2923,0,77,0.53,76,4.4,36.5,0.51,0.054,0.121,0.293,0.493,1,4
2026-07-10,0x04b6d7e930cf9e493c5e6ef24b496294f95594c8,0x04b6D7E930cf9e493c5E6eF24B496294F95594C8-1774448369789,3397.93,0.0764,44448.2,0.0,47846.2,2986,0,14,1.0,13,1.0,214,0.38,0.053,0.121,0.145,0.653,1,6
2026-07-10,0xa01c0a5e4f8c1114e95c68ee97694bc95e51766c,0xa01c0A5E4F8c1114e95c68eE97694BC95E51766C-1782858480408,34857.79,0.4241,82183.5,0.0,117041.3,2990,0,5,0.996,21,20.9,126,0.01,0.542,0.319,0.001,0.187,1,7
2026-07-10,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,0xcE25E214D5cfE4f459cf67F08DF581885AAE7Fdc-1777575398144,3068.06,0.0814,37684.4,0.0,40752.4,2885,0,113,0.067,112,10.4,22.5,0.42,0.1,0.146,0.139,0.489,1,8
2026-07-10,0x13e0d447520ebe7f8eeaf7817211201b2c585204,0x13e0d447,-3201.82,-0.0795,40269.1,0.0,37067.3,2974,0,26,1.0,28,2.3,81.5,0.35,0.144,0.079,0.219,0.297,1,9
2026-07-10,0x251c1a283703beed41590b0875a8dcb8ddd1541f,0xAAAAA,-2750.71,-0.0278,98870.6,0.0,96119.9,2867,0,132,0.005,134,11.1,21.0,0.58,0.023,0.146,0.307,0.577,1,11
2026-07-10,0x565ca59275f81991bd9877d7fa8404c5ecf6519e,bbwlover,93642.2,0.2186,428353.4,0.0,521995.6,2894,0,94,0.557,113,114.3,12,0.5,0.148,0.239,0.192,0.283,1,12
2026-07-10,0x1465b79bff7992bc703e1aafb3683b1089647072,JnStTrdrBnusFnd,-1489292.22,-0.4987,2986275.8,37312.1,1459671.5,2750,94,49,0.911,68,2276.3,12.5,0.84,0.0,0.087,0.815,,1,13
2026-07-10,0x0484e64092ba4108c2786b61e6fc052d3bf41b1a,DoggyStyIe,-1026.22,-0.0112,91561.1,0.0,90534.9,2892,0,108,0.002,110,9.1,25.0,0.497,0.068,0.168,0.25,0.553,1,14
2026-07-10,0x32ed2e546b187ca15e2841edc82b22c713cf8ec3,mo-money,-20291.8,-0.4613,43992.8,0.0,23701.0,2552,0,307,0.938,343,10.1,4,0.34,0.132,0.102,0.212,0.346,1,15
2026-07-10,0xcc500cbcc8b7cf5bd21975ebbea34f21b5644c82,justdance,-190660.48,-0.5247,363392.1,0.0,172731.6,2358,0,138,0.489,270,121.0,1.0,0.49,0.078,0.16,0.305,0.342,1,16
2026-07-10,0xa0e72d5575095199ae08ce0dce447f21b7249461,uninformedfloww,-1532.18,-0.079,19386.2,0.0,17854.0,2516,0,482,0.92,204,11.5,5.0,0.62,0.01,0.103,0.37,0.469,1,17
2026-07-10,0x55be7aa03ecfbe37aa5460db791205f7ac9ddca3,coinman2,-38158.95,-0.6008,63510.2,0.0,25351.2,2873,0,3,0.875,24,53.1,11.0,0.48,0.19,0.642,0.099,,1,18
2026-07-10,0xbbd339eb192219358de7b92f70f595e41471641b,FOLLOWSMARTWALLET,49905.37,0.1591,313647.1,0.0,363552.5,1675,0,65,0.884,111,175.7,4,0.6,0.005,0.159,0.416,0.307,1,20
2026-07-10,0x27091ce48a08a3e21d63c42d33428cf1e55d20f5,dgcf,-663.83,-0.0351,18888.1,0.0,18224.3,2920,0,77,0.241,104,5.8,27.5,0.18,0.289,0.03,0.104,0.367,1,21
2026-07-10,0x252d7bae5ec87553dcafb23e275c202ac0d3c456,getbipped,-348347.32,-0.6167,564811.3,0.0,216463.9,2062,0,71,0.428,142,543.3,5.0,0.445,0.155,0.091,0.294,,1,22
