ts_deteccion_utc,market_id,activo,ventana_min,direccion,lag_apertura_s,restante_s,py_ask_yes,profundidad_ratio,profundidad_ask
2026-08-19T12:21:13+00:00,3695753,SOL,5,BUY_YES,73.7,226.3,0.8,219.0,0.8
2026-08-19T12:25:18+00:00,3695763,BTC,5,BUY_NO,18.05,281.9,0.38,68.1,0.63
2026-08-19T12:25:30+00:00,3695758,SOL,5,BUY_YES,30.18,269.8,0.58,10.1,0.58
2026-08-19T12:26:42+00:00,3695763,BTC,5,BUY_YES,102.01,198.0,0.57,0.0,0.68
2026-08-19T12:30:02+00:00,3695877,BTC,5,BUY_YES,2.02,298.0,0.71,136.2,0.72
2026-08-19T12:30:03+00:00,3695876,SOL,5,BUY_YES,2.03,298.0,0.58,9.6,0.58
2026-08-19T12:30:36+00:00,3695877,BTC,5,BUY_NO,36.57,263.4,0.39,45.2,0.62
2026-08-19T12:30:37+00:00,3695874,BTC,15,BUY_NO,37.5,862.5,0.45,14.5,0.56
2026-08-19T12:35:04+00:00,3695923,BTC,5,BUY_YES,2.01,298.0,0.79,274.6,0.77
2026-08-19T12:35:04+00:00,3695920,SOL,5,BUY_YES,2.02,298.0,0.72,16.1,0.72
2026-08-19T12:40:03+00:00,3696435,BTC,5,BUY_NO,3.2,296.8,0.37,377.5,0.64
2026-08-19T12:40:32+00:00,3696435,BTC,5,BUY_YES,32.54,267.5,0.55,11.8,0.57
2026-08-19T12:40:35+00:00,3696432,SOL,5,BUY_YES,35.74,264.3,0.69,67.9,0.69
2026-08-19T12:45:02+00:00,3696448,BTC,5,BUY_YES,2.24,297.8,0.68,289.5,0.68
2026-08-19T12:45:02+00:00,3696441,SOL,5,BUY_YES,2.26,297.7,0.75,21.2,0.75
