clave,tipo,feature,direccion,n,ic,p_shuffle,sobrevive_bh_fdr
STREAK_MOM_5M#XRP#5min,FILTRO,streak_len,BUY_NO,16,-0.2777777777777778,0.999,0
STREAK_MOM_5M#XRP#5min,FILTRO,libro_liquidez,BUY_NO,23,-0.26,0.999,0
STREAK_FADE_5M,FILTRO,hora_utc,BUY_NO,52,-0.16666666666666669,0.996,0
STREAK_FADE_5M,FILTRO,py_entrada,BUY_NO,18,-0.2,0.983,0
STREAK_FADE_5M,FILTRO,streak_len,BUY_NO,25,-0.24074074074074076,0.9955,0
STREAK_FADE_5M#SOL#5min,FILTRO,hora_utc,BUY_NO,17,-0.1842105263157895,0.975,0
STREAK_FADE_5M#SOL#5min,FILTRO,libro_liquidez,BUY_NO,15,-0.14705882352941174,0.9425,0
STREAK_FADE_5M#SOL#5min,PATRON,libro_liquidez,BUY_YES,17,0.23684210526315785,0.025,1
STREAK_FADE_5M#ETH#5min,FILTRO,py_entrada,BUY_YES,17,-0.13157894736842107,0.933,0
STREAK_FADE_5M#ETH#5min,FILTRO,libro_liquidez,BUY_YES,18,-0.15000000000000002,0.9615,0
STREAK_FADE_5M#ETH#5min,FILTRO,hora_utc,BUY_NO,17,-0.1842105263157895,0.976,0
STREAK_FADE_5M#ETH#5min,FILTRO,hora_utc,BUY_NO,15,-0.2647058823529412,0.998,0
STREAK_FADE_5M#ETH#5min,FILTRO,streak_len,BUY_NO,15,-0.20588235294117646,0.988,0
STREAK_FADE_5M#ETH#5min,FILTRO,libro_liquidez,BUY_NO,15,-0.2647058823529412,0.9955,0
STREAK_FADE_5M#XRP#5min,FILTRO,hora_utc,BUY_YES,18,-0.15000000000000002,0.954,0
WEEKLY_PRICE,FILTRO,T_h,BUY_YES,25,-0.2777777777777778,1.0,0
WEEKLY_PRICE,PATRON,T_h,BUY_NO,61,0.3571428571428571,0.0,1
WEEKLY_PRICE#BTC,PATRON,T_h,BUY_NO,23,0.30000000000000004,0.001,1
WEEKLY_PRICE#BTC,PATRON,pct_dist,BUY_NO,15,0.38235294117647056,0.0015,1
WEEKLY_PRICE#ETH,PATRON,T_h,BUY_NO,30,0.28125,0.0015,1
WEEKLY_PRICE#SOL,PATRON,T_h,BUY_NO,65,0.35074626865671643,0.0,1
WEEKLY_PRICE#SOL,PATRON,T_h,BUY_NO,68,0.3571428571428571,0.0,1
PRICE_TARGET_GBM,FILTRO,sigma_h,BUY_YES,17,-0.2368421052631579,0.993,0
PRICE_TARGET_GBM,FILTRO,sigma_h,BUY_NO,72,-0.36486486486486486,1.0,0
PRICE_TARGET_GBM,FILTRO,T_h,BUY_NO,50,-0.4230769230769231,1.0,0
PRICE_TARGET_GBM,FILTRO,pct_vs_K,BUY_NO,50,-0.4807692307692308,1.0,0
PRICE_TARGET_GBM,PATRON,sigma_h,BUY_NO,25,0.20370370370370372,0.02,1
PRICE_TARGET_GBM#ETH#atexpiry,FILTRO,sigma_h,BUY_NO,29,-0.43548387096774194,1.0,0
PRICE_TARGET_GBM#ETH#atexpiry,FILTRO,T_h,BUY_NO,20,-0.45454545454545453,1.0,0
PRICE_TARGET_GBM#ETH#atexpiry,FILTRO,T_h,BUY_NO,21,-0.4565217391304348,1.0,0
PRICE_TARGET_GBM#ETH#atexpiry,FILTRO,pct_vs_K,BUY_NO,19,-0.4523809523809524,1.0,0
LEADLAG_BTC_XRP_15M,FILTRO,py_entrada,BUY_NO,22,-0.125,0.928,0
LEADLAG_BTC_XRP_15M,PATRON,hora_utc,BUY_NO,41,0.15116279069767447,0.026,1
LEADLAG_BTC_XRP_15M,PATRON,py_entrada,BUY_NO,42,0.11363636363636365,0.0795,0
LEADLAG_BTC_XRP_15M#XRP#15min,FILTRO,py_entrada,BUY_NO,22,-0.125,0.9315,0
LEADLAG_BTC_XRP_15M#XRP#15min,PATRON,hora_utc,BUY_NO,41,0.15116279069767447,0.0325,1
LEADLAG_BTC_XRP_15M#XRP#15min,PATRON,py_entrada,BUY_NO,42,0.11363636363636365,0.093,0
ORDER_FLOW_5M,FILTRO,hora_utc,BUY_NO,35,-0.1216216216216216,0.9555,0
ORDER_FLOW_5M#SOL#5min,PATRON,hora_utc,BUY_NO,19,0.11904761904761907,0.1785,0
ORDER_FLOW_5M#BTC#5min,FILTRO,delta_ratio,BUY_YES,23,-0.18,0.9855,0
ORDER_FLOW_5M#BTC#5min,FILTRO,hora_utc,BUY_NO,19,-0.2619047619047619,0.9985,0
ORDER_FLOW_5M#BTC#5min,PATRON,hora_utc,BUY_NO,19,0.11904761904761907,0.1705,0
ORDER_FLOW_5M#XRP#5min,FILTRO,delta_ratio,BUY_YES,20,-0.13636363636363635,0.9495,0
ORDER_FLOW_5M#DOGE#5min,FILTRO,delta_ratio,BUY_YES,23,-0.14,0.9605,0
ORDER_FLOW_5M#DOGE#5min,FILTRO,total_vol_5m,BUY_YES,31,-0.25757575757575757,1.0,0
ORDER_FLOW_5M#BNB#5min,PATRON,total_vol_5m,BUY_YES,31,0.16666666666666663,0.03,1
