evento_timestamp_utc,market_id,subtype,direction,precio_original,stake_eur,ratio_original,precio_contrario,ratio_contrario,ask_contrario,profundidad_contrario_eur
2026-08-17T15:10:20+00:00,3635548,BTC,BUY_NO,0.51,1.05,5486.6,0.49,2367.9,0.51,2486.25
2026-08-17T15:10:20+00:00,3635508,BTC,BUY_NO,0.68,1.05,4363.1,0.32,0.0,0.34,0.0
2026-08-17T15:10:20+00:00,3635553,BTC,BUY_NO,0.84,1.05,8164.2,0.16,0.0,0.18,0.0
2026-08-17T22:39:23+00:00,3652290,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:39:22+00:00,3651216,ETH,BUY_YES,0.52,1.05,1542.9,0.48,2657.1,0.5,2790.0
2026-08-17T22:39:22+00:00,3651172,ETH,BUY_YES,0.51,1.05,3.1,0.49,4510.7,0.5,4736.25
2026-08-17T22:39:23+00:00,3652292,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:39:23+00:00,3652291,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:39:23+00:00,3652293,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:39:22+00:00,3652288,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.99,0.0
2026-08-17T22:39:23+00:00,3652294,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.99,0.0
2026-08-17T22:45:25+00:00,3652336,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:45:25+00:00,3652338,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:45:25+00:00,3652334,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:45:25+00:00,3652339,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.99,0.0
2026-08-17T22:45:25+00:00,3652335,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T22:45:25+00:00,3652340,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.99,0.0
2026-08-17T22:45:25+00:00,3652337,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-17T23:01:06+00:00,3652281,ETH,BUY_NO,0.565,1.05,0.0,0.435,0.0,0.48,0.0
2026-08-17T23:09:48+00:00,3652325,ETH,BUY_NO,0.395,1.05,0.0,0.605,1314.3,0.46,1380.0
2026-08-17T23:37:38+00:00,3651163,BTC,BUY_NO,0.824,1.05,8011.3,0.176,0.0,0.199,0.0
2026-08-17T23:37:38+00:00,3651206,BTC,BUY_YES,0.62,1.05,6066.7,0.38,0.0,0.4,0.0
2026-08-17T23:37:38+00:00,3651162,BTC,BUY_YES,0.63,1.05,6166.9,0.37,0.0,0.39,0.0
2026-08-17T23:37:39+00:00,3651207,BTC,BUY_NO,0.8,1.05,7758.3,0.2,0.0,0.22,0.0
2026-08-18T00:00:55+00:00,3541775,ETH,BUY_NO,0.64,1.05,1914.3,0.36,0.0,0.38,0.0
2026-08-18T00:00:54+00:00,3516862,BTC,BUY_YES,0.825,1.05,10353.7,0.175,1537.6,0.16,1614.43
2026-08-18T00:00:54+00:00,3516876,ETH,BUY_NO,0.73,1.05,2413.2,0.27,8.0,0.28,8.4
2026-08-18T00:00:54+00:00,3541756,BTC,BUY_YES,0.715,1.05,4904.9,0.285,299.5,0.28,314.5
2026-08-18T00:00:54+00:00,3541717,BTC,BUY_NO,0.725,1.05,3442.9,0.275,0.0,0.29,0.0
2026-08-18T00:00:53+00:00,3516825,ETH,BUY_YES,0.735,1.05,8804.3,0.265,23.1,0.27,24.3
2026-08-18T00:00:54+00:00,3541714,ETH,BUY_YES,0.64,1.05,3265.7,0.36,286.8,0.37,301.18
2026-08-18T00:00:53+00:00,3516827,BTC,BUY_NO,0.825,1.05,4900.9,0.175,406.9,0.17,427.22
2026-08-18T00:00:57+00:00,3635560,ETH,BUY_NO,0.64,1.05,0.0,0.36,0.0,0.4,0.0
2026-08-18T00:00:57+00:00,3635548,BTC,BUY_YES,0.605,1.05,0.0,0.395,2120.3,0.41,2226.3
2026-08-18T00:00:57+00:00,3635567,ETH,BUY_NO,0.86,1.05,2571.4,0.14,0.0,0.17,0.0
2026-08-18T00:00:56+00:00,3635510,BTC,BUY_NO,0.82,1.05,3946.4,0.18,0.0,0.21,0.0
2026-08-18T00:01:00+00:00,3651217,ETH,BUY_NO,0.88,1.05,8662.3,0.12,0.0,0.14,0.0
2026-08-18T00:06:46+00:00,3652272,BTC,BUY_NO,0.85,1.05,4085.7,0.15,0.0,0.18,0.0
2026-08-18T00:06:45+00:00,3652270,BTC,BUY_NO,0.68,1.05,3296.4,0.32,0.0,0.36,0.0
2026-08-18T00:06:46+00:00,3652314,BTC,BUY_NO,0.68,1.05,3296.4,0.32,0.0,0.36,0.0
2026-08-18T00:06:46+00:00,3652316,BTC,BUY_NO,0.825,1.05,0.0,0.175,0.0,0.2,0.0
2026-08-18T02:19:48+00:00,3654015,ETH,BUY_NO,0.78,1.05,6208.9,0.22,546.1,0.23,573.39
2026-08-18T02:19:48+00:00,3654020,ETH,BUY_NO,0.775,1.05,8079.1,0.225,396.5,0.23,416.3
2026-08-18T03:17:51+00:00,3653960,BTC,BUY_NO,0.645,1.05,1223.4,0.355,3509.4,0.36,3684.87
2026-08-18T03:17:51+00:00,3653966,BTC,BUY_NO,0.705,1.05,12126.3,0.295,431.4,0.3,453.0
2026-08-18T13:59:47+00:00,3670247,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-18T13:59:47+00:00,3670250,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-18T13:59:48+00:00,3670260,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-18T13:59:48+00:00,3670265,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.99,0.0
2026-08-18T13:59:48+00:00,3670254,SOL,BUY_NO,0.5,1.05,0.0,0.5,0.0,0.99,0.0
2026-08-18T13:59:48+00:00,3670266,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.99,0.0
2026-08-18T13:59:48+00:00,3670262,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.99,0.0
2026-08-18T13:59:48+00:00,3670257,SOL,BUY_NO,0.505,1.05,0.0,0.495,0.0,0.98,0.0
2026-08-18T14:19:22+00:00,3670177,ETH,BUY_NO,0.51,1.05,4073.3,0.49,0.0,0.52,0.0
2026-08-18T14:19:22+00:00,3670207,ETH,BUY_NO,0.62,1.05,2222.9,0.38,0.0,0.4,0.0
2026-08-18T14:19:22+00:00,3670179,ETH,BUY_NO,0.89,1.05,6985.7,0.11,0.0,0.12,0.0
2026-08-19T00:00:43+00:00,3670211,ETH,BUY_NO,0.85,1.05,2542.9,0.15,0.0,0.18,0.0
2026-08-19T00:00:43+00:00,3670204,ETH,BUY_NO,0.66,1.05,1971.4,0.34,0.0,0.37,0.0
2026-08-19T00:00:43+00:00,3670177,ETH,BUY_YES,0.595,1.05,5083.0,0.405,0.0,0.43,0.0
2026-08-25T08:36:48+00:00,3701250,SOL,BUY_NO,0.605,1.05,0.0,0.395,0.0,0.61,0.0
2026-08-25T08:36:48+00:00,3701253,SOL,BUY_NO,0.496,1.05,0.0,0.504,0.0,0.819,0.0
2026-08-25T08:36:47+00:00,3701248,SOL,BUY_NO,0.9215,1.05,0.0,0.0785,0.0,0.512,0.0
2026-08-25T08:36:48+00:00,3724005,ETH,BUY_NO,0.5425,1.05,632.3,0.4575,1134.4,0.462,1191.14
2026-08-25T08:36:48+00:00,3724007,ETH,BUY_NO,0.8635,1.05,5430.5,0.1365,92.3,0.139,96.91
2026-08-25T08:36:48+00:00,3724002,ETH,BUY_YES,0.864,1.05,5762.0,0.136,0.0,0.144,0.0
2026-08-25T08:36:48+00:00,3701255,SOL,BUY_NO,0.9315,1.05,0.0,0.0685,0.0,0.074,0.0
2026-08-25T08:36:49+00:00,3724031,BTC,BUY_YES,0.8325,1.05,7379.8,0.1675,156.2,0.169,164.03
2026-08-25T08:36:53+00:00,3746460,SOL,BUY_NO,0.51,1.05,0.0,0.49,0.0,0.96,0.0
2026-08-25T08:36:55+00:00,3763297,ETH,BUY_NO,0.53,1.05,15.3,0.47,791.0,0.47,830.5
2026-08-25T08:36:54+00:00,3763295,ETH,BUY_YES,0.755,1.05,5520.4,0.245,0.0,0.27,0.0
2026-08-25T08:36:53+00:00,3746458,SOL,BUY_NO,0.5215,1.05,0.0,0.4785,0.0,0.947,0.0
2026-08-25T08:36:54+00:00,3746466,SOL,BUY_NO,0.525,1.05,0.0,0.475,0.0,0.939,0.0
2026-08-25T08:36:54+00:00,3763296,BTC,BUY_NO,0.58,1.05,0.0,0.42,0.0,0.84,0.0
2026-08-25T08:36:54+00:00,3746461,SOL,BUY_NO,0.51,1.05,0.0,0.49,0.0,0.96,0.0
2026-08-25T08:36:54+00:00,3746464,SOL,BUY_NO,0.5215,1.05,0.0,0.4785,0.0,0.946,0.0
2026-08-25T08:36:56+00:00,3763322,ETH,BUY_NO,0.52,1.05,0.0,0.48,0.0,0.77,0.0
2026-08-25T08:36:57+00:00,3763323,BTC,BUY_NO,0.705,1.05,3757.7,0.295,0.0,0.31,0.0
2026-08-25T08:36:57+00:00,3763329,ETH,BUY_NO,0.82,1.05,0.0,0.18,0.0,0.35,0.0
2026-08-25T08:36:57+00:00,3763326,ETH,BUY_NO,0.715,1.05,0.0,0.285,0.0,0.53,0.0
2026-08-25T08:36:57+00:00,3763324,BTC,BUY_NO,0.845,1.05,4597.5,0.155,31.2,0.16,32.8
