timestamp_utc,activo,nesting,combo,coste,profit_min_pct,gap_opens_pct,depth_usd,restante_s,ask_leg1,ask_leg2,o_inner,o_outer,inner_slug,outer_slug
2026-08-02T00:10:56+00:00,BTC,5min15m,YESout+NOin,1.291,-29.1,0.129,6.0,243,0.991,0.3,62851.0,62770.0,btc-updown-5m-1785629400,btc-updown-15m-1785628800
2026-08-02T00:10:56+00:00,ETH,5min15m,YESout+NOin,1.17,-17.0,0.1269,14.4,243,0.99,0.18,1845.87,1843.53,eth-updown-5m-1785629400,eth-updown-15m-1785628800
2026-08-02T00:10:57+00:00,SOL,5min15m,YESout+NOin,1.12,-12.0,0.0835,11.24,242,0.98,0.14,71.95,71.89,sol-updown-5m-1785629400,sol-updown-15m-1785628800
2026-08-02T00:10:57+00:00,XRP,5min15m,YESout+NOin,1.17,-17.0,0.0943,1.34,242,0.99,0.18,1.061,1.06,xrp-updown-5m-1785629400,xrp-updown-15m-1785628800
2026-08-02T00:12:03+00:00,BTC,5min15m,YESout+NOin,1.378,-37.8,0.129,20.07,176,0.998,0.38,62851.0,62770.0,btc-updown-5m-1785629400,btc-updown-15m-1785628800
2026-08-02T00:12:04+00:00,ETH,5min15m,YESout+NOin,1.206,-20.6,0.1269,5.98,175,0.996,0.21,1845.87,1843.53,eth-updown-5m-1785629400,eth-updown-15m-1785628800
2026-08-02T00:12:04+00:00,XRP,5min15m,YESout+NOin,1.368,-36.8,0.0943,1.85,175,0.998,0.37,1.061,1.06,xrp-updown-5m-1785629400,xrp-updown-15m-1785628800
2026-08-02T00:13:58+00:00,ETH,5min15m,YESout+NOin,1.029,-2.9,0.1269,3.88,61,0.999,0.03,1845.87,1843.53,eth-updown-5m-1785629400,eth-updown-15m-1785628800
2026-08-02T00:13:58+00:00,SOL,5min15m,YESout+NOin,1.019,-1.9,0.0835,7.35,61,0.999,0.02,71.95,71.89,sol-updown-5m-1785629400,sol-updown-15m-1785628800
2026-08-02T00:13:59+00:00,XRP,5min15m,YESout+NOin,1.089,-8.9,0.0943,0.56,60,0.999,0.09,1.061,1.06,xrp-updown-5m-1785629400,xrp-updown-15m-1785628800
