timestamp_utc,slug,market_id,condition_id,activo,marco,end_date,restante_s_objetivo,restante_s_real,precio_yes,lado_favorito,best_ask_favorito,ask_usd_le5c,best_bid_favorito,profundidad_favorito_usd,n_niveles_favorito,outcome_real,favorito_gano
2026-08-24T00:01:00+00:00,sol-updown-5m-1787529600,3790591,0xc460b38ca4934e47eb98e11ec7537837487b0c1cb02e6f69ca073908e2dc234b,SOL,5min,2026-08-24T00:05:00+00:00,240,239.0,0.495,Down,0.33,127.95,0.31,8792.72,67,Down,1
2026-08-24T00:02:03+00:00,eth-updown-5m-1787529600,3790586,0xa44eb75deae50382e9c922c1a40bb02db5be1b6b17d8df323b0159a44ef3afd1,ETH,5min,2026-08-24T00:05:00+00:00,180,176.4,0.515,Up,0.46,210.19,0.45,7299.99,54,Down,0
2026-08-24T00:02:03+00:00,xrp-updown-15m-1787529600,3790580,0xf672e96cd1bf45b4cba82af5fc697e3923323e88152a95b2c87878fec435ab1b,XRP,15min,2026-08-24T00:15:00+00:00,780,776.1,0.66,Up,0.54,169.5,0.49,4831.37,46,,
2026-08-24T00:06:00+00:00,sol-updown-5m-1787529900,3790600,0xfa23d699b437d7013f71c8644fa23a1fd7d6468d12f0299b442bcda00319df2f,SOL,5min,2026-08-24T00:10:00+00:00,240,239.9,0.505,Up,0.48,177.5,0.43,7829.62,52,,
2026-08-24T00:07:00+00:00,eth-updown-5m-1787529900,3790601,0x5c819d1b75072669ccdd6624567ed59d5eb0f626586061c0ce300ba72fe35d95,ETH,5min,2026-08-24T00:10:00+00:00,180,179.6,0.5,Up,0.09,126.4,0.08,8529.48,91,,
2026-08-24T00:07:00+00:00,sol-updown-15m-1787529600,3790573,0xe337a844ab08f681daa0a07e499fa1d199f0632d1f9d9253fab971f90df4f878,SOL,15min,2026-08-24T00:15:00+00:00,480,479.5,0.14,Down,0.96,988.51,0.93,988.51,4,,
2026-08-24T00:10:00+00:00,eth-updown-15m-1787529600,3790578,0x8fcd1d07059de335f14c26d40e2ea46f85ed7b16748ca0260ad7ee5f2c6cc018,ETH,15min,2026-08-24T00:15:00+00:00,300,299.6,0.075,Down,0.73,530.02,0.7,4319.61,27,,
2026-08-24T00:11:00+00:00,sol-updown-5m-1787530200,3790620,0x880b7fd35190dfe58a9486db3993c0186ee0a55ba89ccd6a4a7fddc3198e45ed,SOL,5min,2026-08-24T00:15:00+00:00,240,239.8,0.505,Up,0.75,301.49,0.71,5966.97,25,,
2026-08-24T00:12:00+00:00,eth-updown-5m-1787530200,3790615,0xf428a8aa2ba1631d765f0d065c9029b022e20e519a535ac98e76abe7db095155,ETH,5min,2026-08-24T00:15:00+00:00,180,179.8,0.505,Up,0.53,122.52,0.52,7462.88,45,,
