timestamp_utc,activo,market_id,condition_id,delta_ratio,py_deteccion,ratio_deteccion,ask_deteccion,ratio_decision,ask_decision,degradacion_ask_pct,sigue_fillable_en_decision,registrada_prediccion
2026-08-27T16:36:50+00:00,ETH,3904052,0x104630df82f093840fe5fa6ae70294b8a3a0b595c96172a076a11c7915971e76,-0.3888,0.38,3.1,0.65,116.3,0.6,-7.69,1,1
2026-08-27T16:37:35+00:00,DOGE,3904047,0x02e6dc07c368fce2562279f66448991f0e86eee55350f247057e00fca10cbf4f,-0.4258,0.42,28.6,0.6,0.0,0.69,15.0,0,0
2026-08-27T16:51:46+00:00,XRP,3904128,0x052f38eec7ce013ebbd4fb6c3bebb3b060d354011b76e1cde6ba06f051fa02eb,-0.3998,0.48,0.0,0.62,0.0,0.62,0.0,0,0
2026-08-27T17:46:35+00:00,ETH,3904607,0x2abad8ea15a65957e81c5adf9d8a9d9797cf37bcf0fd68bc46db93c8c781ceca,-0.3933,0.59,87.3,0.42,72.2,0.41,-2.38,1,1
2026-08-27T17:47:38+00:00,SOL,3904602,0xbe6cd218ea38b0e396b16538be092a74deb9aa263c38373d1ca21a8598e521b3,-0.4018,0.59,32.4,0.42,48.0,0.41,-2.38,1,1
2026-08-27T17:52:46+00:00,ETH,3904627,0x8a0c7ff111ce696d13ea63e959ed51a49b1c386ee403a6d9e3eb654040a39298,-0.3942,0.62,0.0,0.4,232.2,0.31,-22.5,1,1
2026-08-27T17:59:09+00:00,ETH,3905101,0xe834525827aa4a72b84efac5d9da10ce253f505fe2f322439847bd877999ed2e,-0.4326,0.42,0.0,0.64,0.0,0.7,9.37,0,0
2026-08-27T18:07:02+00:00,ETH,3905283,0x3916487dd4b687e98ed2000e08d716801013216497abadbb08252d624c663207,-0.4368,0.4,0.0,0.64,0.0,0.73,14.06,0,0
2026-08-27T18:16:37+00:00,BNB,3905470,0xb8fe3b2623edca76c9ad5662596578719761e817376531710a80eb04e685688e,-0.4522,0.43,0.0,0.6,3.0,0.59,-1.67,0,0
2026-08-27T18:22:18+00:00,DOGE,3905544,0x77522db5c3982576121cdafd4f49818435852f4629c9ca27ad728ea96771851b,-0.4158,0.38,0.0,0.67,0.0,0.72,7.46,0,0
