market_id,strategy,direction,motivo,restante_min,vol_previo_usdc,clip_max_usdc,n_trades_previos,ratio_vs_stake
2841439,GBM_LATE_15M,BUY_YES,veto_profundidad,11.98,108.19,13.05,21,0.0
2841440,GBM_LATE_15M,BUY_YES,veto_profundidad,11.98,57.41,16.7,8,0.0
2841506,GBM_LATE_15M,BUY_YES,veto_profundidad,9.5,129.28,20.06,24,0.0
2843006,GBM_LATE_15M,BUY_YES,veto_profundidad,5.02,252.0,33.97,38,0.0
2843404,GBM_LATE_15M,BUY_YES,ejecutada,10.47,3.0,3.0,1,217.4
2843413,GBM_LATE_15M,BUY_YES,ejecutada,10.45,103.01,24.0,22,228.7
2843475,GBM_LATE_15M,BUY_YES,ejecutada,10.27,85.29,17.58,14,39.0
2843511,GBM_LATE_15M,BUY_YES,ejecutada,7.75,88.57,13.44,16,54.6
2843734,GBM_LATE_15M,BUY_YES,ejecutada,6.68,81.92,8.17,21,336.9
2843816,GBM_LATE_15M,BUY_YES,ejecutada,11.42,9.9,7.0,3,234.2
