timestamp_utc,tipo,event,end_date,n_brackets,suma_yes,profit_pct,liq_min,liq_total,rango_min,rango_max
2026-06-27T04:30:22+00:00,OVERROUND,Solana price on June 29?,2026-06-29,9,2.1315,-115.15,5.0,1134.0,110,120
2026-06-27T04:30:22+00:00,OVERROUND,Solana price on July 2?,2026-07-02,9,2.0475,-106.75,4.0,128.0,110,110
2026-06-27T04:30:22+00:00,OVERROUND,Solana price on July 1?,2026-07-01,9,1.9005,-92.05,11.0,584.0,110,110
2026-06-27T04:30:22+00:00,OVERROUND,Solana price on June 30?,2026-06-30,9,1.8895,-90.95,4.0,187.0,110,110
2026-06-27T04:30:22+00:00,OVERROUND,Solana price on June 28?,2026-06-28,9,1.219,-23.9,14.0,19477.0,110,120
2026-06-27T04:30:22+00:00,OVERROUND,Ethereum price on June 30?,2026-06-30,9,1.1125,-13.25,249.0,49944.0,1200,2100
2026-06-27T04:30:22+00:00,OVERROUND,Ethereum price on June 29?,2026-06-29,9,1.1085,-12.85,228.0,52992.0,1300,2200
2026-06-27T04:30:22+00:00,OVERROUND,Ethereum price on July 2?,2026-07-02,9,1.0875,-10.75,911.0,37487.0,1100,2000
2026-06-27T04:30:22+00:00,OVERROUND,Ethereum price on July 1?,2026-07-01,9,1.0775,-9.75,4185.0,40848.0,1200,2100
2026-06-27T04:30:22+00:00,OVERROUND,Ethereum price on June 28?,2026-06-28,9,1.066,-8.6,4346.0,87749.0,1300,2200
2026-06-27T04:30:22+00:00,OVERROUND,Bitcoin price on June 28?,2026-06-28,9,1.03,-5.0,9880.0,158939.0,56000,74000
2026-06-27T04:30:22+00:00,OVERROUND,Bitcoin price on June 29?,2026-06-29,9,1.0245,-4.45,5927.0,111718.0,56000,74000
