timestamp_utc,ts_end,marco,dry_run,activo,direccion_implicita,ask_implicita,n_rafaga,rafaga_ok,en_banda,gate_legacy_confirmado,gate_legacy_motivo,market_id,gate_confirmado,gate_motivo,ratio_vs_stake,vwap_fill_estimado,whitelist_ok,t_lectura_ms,t_firma_ms,t_total_ms,disparado,order_ok,order_error
2026-09-23T15:44:58.200+00:00,1790178300,5min,True,SOL,Up,0.01,0,False,False,False,ninguno_confirma,4841806,False,sin_rafaga_n=0,127.1,0.01,,135.5,,,,,
2026-09-23T15:44:58.200+00:00,1790178300,5min,True,BTC,Down,,0,,,,,4841802,False,sin_ask,,,,141.0,,,,,
2026-09-23T15:44:58.201+00:00,1790178300,5min,True,DOGE,Down,,0,,,,,4841801,False,sin_ask,,,,107.6,,,,,
2026-09-23T15:44:58.201+00:00,1790178300,5min,True,BNB,Up,,0,,,,,4841807,False,sin_ask,,,,52.2,,,,,
2026-09-23T15:44:58.201+00:00,1790178300,5min,True,ETH,Up,,0,,,,,4841804,False,sin_ask,,,,104.5,,,,,
2026-09-23T15:44:58.201+00:00,1790178300,5min,True,XRP,Down,,0,,,,,4841805,False,sin_ask,,,,106.7,,,,,
2026-09-23T15:44:58.223+00:00,1790178300,15min,True,DOGE,Down,,0,,,,,4841720,False,sin_ask,,,,65.5,,,,,
2026-09-23T15:44:58.223+00:00,1790178300,15min,True,BTC,Down,,0,,,,,4841713,False,sin_ask,,,,73.4,,,,,
2026-09-23T15:44:58.223+00:00,1790178300,15min,True,BNB,Down,,0,,,,,4841714,False,sin_ask,,,,91.9,,,,,
2026-09-23T15:44:58.223+00:00,1790178300,15min,True,XRP,Down,,0,,,,,4841718,False,sin_ask,,,,54.3,,,,,
2026-09-23T15:44:58.223+00:00,1790178300,15min,True,ETH,Down,,0,,,,,4841727,False,sin_ask,,,,50.5,,,,,
2026-09-23T15:44:58.223+00:00,1790178300,15min,True,SOL,Down,,0,,,,,4841725,False,sin_ask,,,,51.9,,,,,
2026-09-23T15:49:58.108+00:00,1790178600,5min,True,BTC,Down,,0,,,,,4841872,False,sin_ask,,,,81.9,,,,,
2026-09-23T15:49:58.110+00:00,1790178600,5min,True,SOL,Down,,0,,,,,4841866,False,sin_ask,,,,62.8,,,,,
2026-09-23T15:49:58.110+00:00,1790178600,5min,True,ETH,Down,,0,,,,,4841871,False,sin_ask,,,,91.6,,,,,
2026-09-23T15:49:58.110+00:00,1790178600,5min,True,BNB,Down,,0,,,,,4841880,False,sin_ask,,,,58.3,,,,,
2026-09-23T15:49:58.110+00:00,1790178600,5min,True,XRP,Down,,0,,,,,4841868,False,sin_ask,,,,76.5,,,,,
2026-09-23T15:49:58.110+00:00,1790178600,5min,True,DOGE,Down,,0,,,,,4841876,False,sin_ask,,,,79.6,,,,,
