veto_timestamp_utc,market_id,strategy,subtype,direction,motivo_origen,precio_plan,stake_eur,ratio_inicial,muestras_json,mejora_detectada,t_mejora_s,ratio_max,senal_contraria_activada,t_senal_contraria_s,ratio_contrario_en_senal,ask_contrario_en_senal,ratio_contrario_max
2026-08-12T23:22:02+00:00,3528490,STREAK_FADE_5M,XRP#5min,BUY_YES,candidato_evaluacion,0.505,1.05,0.0,"[[5.0,0.0,0.6,44.5,0.49],[10.5,0.0,0.61,147.5,0.39],[15.9,0.0,0.6,164.9,0.41],[21.3,0.0,0.82,234.8,0.19],[26.6,0.0,0.81,172.1,0.21],[32.0,0.0,0.81,199.8,0.22],[37.4,0.0,0.8,249.7,0.21],[42.7,0.0,0.81,273.2,0.2],[47.9,0.0,0.83,191.7,0.19],[53.4,0.0,0.85,273.1,0.17],[58.8,0.0,0.85,261.8,0.16],[64.1,0.0,0.85,239.1,0.16]]",0,,0.0,0,,,,273.2
2026-08-12T23:22:02+00:00,3528473,GBM_LATE_15M_PYCONFIRMADO,BTC#15min,BUY_NO,candidato_evaluacion,0.385,1.05,0.0,"[[5.0,0.0,0.59,3145.6,0.42],[10.7,0.0,0.59,3212.8,0.42],[16.0,0.0,0.64,3237.2,0.37],[21.3,0.0,0.64,2714.8,0.37],[26.6,0.0,0.64,3197.4,0.37],[32.3,0.0,0.64,3134.8,0.37],[37.6,0.0,0.64,2868.4,0.37],[42.9,0.0,0.62,2704.2,0.39],[48.1,0.0,0.62,3214.7,0.39],[53.4,0.0,0.62,2374.4,0.39],[58.8,0.0,0.62,2651.0,0.39],[64.1,0.0,0.62,3411.3,0.39]]",0,,0.0,0,,,,3411.3
2026-08-12T23:22:01+00:00,3528473,GBM_LATE_15M_MULTIHORIZONTE,BTC#15min,BUY_NO,candidato_evaluacion,0.385,1.05,0.0,"[[5.1,0.0,0.59,3145.6,0.42],[10.7,0.0,0.59,3206.4,0.42],[16.1,0.0,0.64,3244.3,0.37],[21.4,0.0,0.64,3225.2,0.37],[26.7,0.0,0.64,3036.9,0.37],[32.1,0.0,0.64,3144.2,0.37],[37.5,0.0,0.64,3161.4,0.37],[42.8,0.0,0.62,2856.9,0.39],[48.0,0.0,0.62,3214.7,0.39],[53.4,0.0,0.62,2374.4,0.39],[58.8,0.0,0.62,3443.9,0.39],[64.1,0.0,0.62,3421.1,0.39]]",0,,0.0,0,,,,3443.9
2026-08-12T23:24:58+00:00,3528490,FAVORITO_CONFIRMADO_5MIN_BAJALATENCIA,XRP#5min,BUY_NO,candidato_evaluacion,0.59,1.05,0.0,"[[5.0,0.0,null,4855.7,0.01],[10.3,0.0,null,4855.7,0.01],[15.8,0.0,null,4847.3,0.01],[21.1,0.0,null,4847.3,0.01],[26.4,0.0,null,4847.3,0.01],[32.0,0.0,null,4847.3,0.01],[37.3,0.0,null,4822.6,0.01],[42.7,0.0,null,4822.6,0.01],[48.3,0.0,null,4822.6,0.01],[53.9,0.0,null,4822.6,0.01],[59.2,0.0,null,4822.2,0.01],[64.4,0.0,null,4822.1,0.01]]",0,,0.0,0,,,,4855.7
2026-08-12T23:24:58+00:00,3528469,GBM_LATE_15M,DOGE#15min,BUY_NO,candidato_evaluacion,0.5,1.05,0.0,"[[5.0,0.0,0.72,240.3,0.33],[10.3,0.0,0.6,56.7,0.45],[16.1,0.0,0.62,191.3,0.43],[21.4,0.0,0.65,233.1,0.38],[26.8,0.0,0.67,120.2,0.38],[32.1,0.0,0.67,131.6,0.38],[37.3,0.0,0.67,137.9,0.37],[42.7,0.0,0.68,149.9,0.37],[48.2,0.0,0.69,236.6,0.36],[53.9,0.0,0.69,229.6,0.36],[59.1,81.4,0.33,0.0,0.77],[64.3,248.8,0.19,0.0,0.85]]",1,59.1,248.8,0,,,,240.3
2026-08-12T23:25:00+00:00,3528478,GBM_LATE_15M,BNB#15min,BUY_NO,candidato_evaluacion,0.49,1.05,0.0,"[[5.0,0.0,0.59,212.9,0.47],[10.2,0.0,0.59,309.8,0.46],[15.8,0.0,0.63,335.4,0.43],[21.4,0.0,0.65,522.6,0.41],[26.6,0.0,0.64,371.9,0.41],[31.9,0.0,0.62,356.2,0.43],[37.1,0.0,0.54,50.0,0.52],[42.9,0.0,0.52,70.2,0.52],[48.1,0.0,0.53,161.7,0.5],[53.4,261.3,0.28,0.0,0.75],[59.1,559.1,0.14,0.0,0.91],[64.4,676.2,0.25,0.0,0.76]]",1,53.4,676.2,0,,,,522.6
2026-08-12T23:25:01+00:00,3528478,GBM_LATE_15M_MULTIHORIZONTE,BNB#15min,BUY_NO,candidato_evaluacion,0.49,1.05,0.0,"[[5.0,0.0,0.59,212.9,0.47],[10.3,0.0,0.59,309.8,0.46],[15.8,0.0,0.62,335.4,0.43],[21.5,0.0,0.65,514.0,0.41],[26.8,0.0,0.64,371.9,0.41],[32.0,0.0,0.62,356.2,0.43],[37.2,0.0,0.54,74.3,0.51],[42.9,0.0,0.52,70.2,0.52],[48.2,0.0,0.53,161.7,0.5],[53.4,88.2,0.28,0.0,0.74],[59.2,527.5,0.14,0.0,0.91],[64.7,676.2,0.25,0.0,0.76]]",1,53.4,676.2,0,,,,514.0
2026-08-12T23:24:59+00:00,3528470,GBM_LATE_15M_MULTIHORIZONTE,ETH#15min,BUY_NO,candidato_evaluacion,0.225,1.05,0.0,"[[5.0,0.0,0.66,2736.1,0.35],[10.2,0.0,0.67,2399.8,0.35],[15.8,0.0,0.68,3035.0,0.32],[21.5,0.0,0.72,3080.1,0.29],[26.7,0.0,0.72,3402.9,0.29],[32.0,0.0,0.67,2862.0,0.34],[37.2,0.0,0.62,3125.1,0.39],[43.0,0.0,0.66,3260.0,0.35],[48.2,0.0,0.66,3629.4,0.36],[53.5,0.0,0.41,2037.2,0.6],[59.2,0.0,0.27,425.9,0.74],[64.5,0.0,0.36,1910.5,0.63]]",0,,0.0,0,,,,3629.4
2026-08-12T23:25:02+00:00,3528484,GBM_LATE_15M_TARDIO,XRP#15min,BUY_NO,candidato_evaluacion,0.475,1.05,0.0,"[[5.0,0.0,0.93,193.2,0.08],[10.2,0.0,0.92,163.3,0.1],[15.8,0.0,0.93,186.4,0.07],[21.5,0.0,0.95,180.3,0.06],[26.7,0.0,0.96,195.0,0.05],[32.0,0.0,0.96,177.6,0.05],[37.3,0.0,0.95,128.2,0.06],[42.9,0.0,0.95,141.4,0.06],[48.2,0.0,0.96,142.8,0.05],[53.4,0.0,0.84,221.3,0.17],[59.2,0.0,0.74,191.8,0.29],[64.5,0.0,0.77,186.1,0.23]]",0,,0.0,0,,,,221.3
2026-08-12T23:24:59+00:00,3528469,GBM_LATE_15M_TARDIO,DOGE#15min,BUY_NO,candidato_evaluacion,0.5,1.05,0.0,"[[5.0,0.0,0.62,77.0,0.42],[10.2,0.0,0.6,191.1,0.43],[15.9,0.0,0.63,108.8,0.42],[21.5,0.0,0.65,133.8,0.38],[26.7,0.0,0.67,135.8,0.38],[32.0,0.0,0.67,238.9,0.38],[37.2,0.0,0.67,138.0,0.37],[42.9,0.0,0.69,247.7,0.36],[48.2,0.0,0.69,245.4,0.36],[53.4,140.8,0.34,0.0,0.7],[59.2,225.3,0.21,0.0,0.88],[64.5,177.4,0.19,0.0,0.85]]",1,53.4,225.3,0,,,,247.7
