timestamp_utc,slug,market_id,condition_id,activo,marco,end_date,restante_s_objetivo,restante_s_real,precio_yes,lado_favorito,best_ask_favorito,ask_usd_le5c,best_bid_favorito,profundidad_favorito_usd,n_niveles_favorito,outcome_real,favorito_gano
2026-09-22T00:37:00+00:00,eth-updown-5m-1790037300,4778725,0xfedbeadd86bfd58118cf34b086ca18a0c5d24c5c91ae3009e49bc8625fd3f32d,ETH,5min,2026-09-22T00:40:00+00:00,180,179.7,0.495,Down,0.95,3477.23,0.94,3477.23,5,Down,1
2026-09-22T00:37:00+00:00,sol-updown-15m-1790037000,4778667,0x8b37e237cd8cf6f94cab2802fa9ec582a2f52f3fc9484c3bfe6e917a62c4ce36,SOL,15min,2026-09-22T00:45:00+00:00,480,479.5,0.665,Up,0.66,227.08,0.62,1198.66,28,Up,1
2026-09-22T00:40:00+00:00,eth-updown-15m-1790037000,4778673,0xea20cebb0c2f20d423a904043bc22929743252cad4aecf8585ce642d6bff2b13,ETH,15min,2026-09-22T00:45:00+00:00,300,299.8,0.76,Up,0.14,111.61,0.13,2651.12,85,Down,0
2026-09-22T00:40:00+00:00,ethereum-up-or-down-september-21-2026-8pm-et,4741985,0x5739e5824b793cfd699a84122a0e9e1581b236e31fc18947c3a950bb67d0e307,ETH,60min,2026-09-22T01:00:00+00:00,1200,1199.5,0.43,Down,0.85,580.41,0.84,1567.56,15,Down,1
2026-09-22T00:41:00+00:00,sol-updown-5m-1790037600,4779009,0x488a8c8412910dc75883a5e35c27fae74603accfaaced5b887ccd26b4cafa616,SOL,5min,2026-09-22T00:45:00+00:00,240,239.9,0.5,Up,0.15,134.57,0.14,4919.29,85,Up,1
2026-09-22T00:42:00+00:00,eth-updown-5m-1790037600,4779015,0x469b07d9df6b49961d965c78e0952abbc1a11c1471b18a35fa73167d975ce01f,ETH,5min,2026-09-22T00:45:00+00:00,180,179.9,0.505,Up,0.6,631.32,0.59,4837.54,40,Up,1
2026-09-22T00:44:00+00:00,btc-updown-15m-1790037000,4778671,0x0a40903b3b8b21e35503342a044526b0ebdaa943954da6a539ed1be8523996ab,BTC,15min,2026-09-22T00:45:00+00:00,60,59.8,0.205,Down,0.999,14.98,0.993,14.98,1,Down,1
2026-09-22T00:46:00+00:00,sol-updown-5m-1790037900,4779166,0xb2d7f09401297e765c4f998516d24a3313bf3abc2b89164fd2214e4808c95253,SOL,5min,2026-09-22T00:50:00+00:00,240,239.9,0.505,Up,0.44,290.06,0.43,5343.32,56,Up,1
2026-09-22T00:47:00+00:00,eth-updown-5m-1790037900,4779169,0x2cf066da54aa6397b69162439f3f1e016d4f719a2337f60240505bc8a54a89af,ETH,5min,2026-09-22T00:50:00+00:00,180,179.6,0.515,Up,0.45,155.12,0.44,5197.46,55,Up,1
2026-09-22T00:47:00+00:00,xrp-updown-15m-1790037900,4779158,0x6dead2dda10e1f4d3a2dfe19a4909b12a82018d7968e74d879d1acb86833b591,XRP,15min,2026-09-22T01:00:00+00:00,780,779.5,0.505,Up,0.53,351.03,0.52,4949.71,36,Down,0
2026-09-22T00:51:00+00:00,sol-updown-5m-1790038200,4779209,0xb8850ecf41472313a91cdff8e0eeb3599d2f62b6b11b9cd14a12752c99647da1,SOL,5min,2026-09-22T00:55:00+00:00,240,239.8,0.495,Down,0.7,70.7,0.69,4036.01,29,Down,1
2026-09-22T00:52:00+00:00,eth-updown-5m-1790038200,4779211,0x0f15f083cf3464af8c05719a2d441b71fef25973eddce75827f5dcc0c636d53c,ETH,5min,2026-09-22T00:55:00+00:00,180,179.7,0.505,Up,0.26,130.36,0.25,4784.38,74,Down,0
2026-09-22T00:52:00+00:00,sol-updown-15m-1790037900,4779156,0xb51b6f4a3c26c10d5f9ad62e80a990b4d7772faff76381702be532c1e05bfd83,SOL,15min,2026-09-22T01:00:00+00:00,480,479.6,0.36,Down,0.65,312.32,0.63,1263.43,24,Down,1
2026-09-22T00:55:00+00:00,eth-updown-15m-1790037900,4779171,0xfe093caef3fbf651cb01e1b299167d55c175e5f87926585a6597ea8be192dadf,ETH,15min,2026-09-22T01:00:00+00:00,300,299.9,0.705,Up,0.35,192.98,0.34,2627.51,59,Down,0
2026-09-22T00:56:00+00:00,sol-updown-5m-1790038500,4779250,0x53fc7f104607c1775c9397e387364c14aac916437e1414f4b5b61a918ce10052,SOL,5min,2026-09-22T01:00:00+00:00,240,239.8,0.5,Up,0.07,55.77,0.05,4685.16,93,Down,0
2026-09-22T00:57:00+00:00,eth-updown-5m-1790038500,4779246,0x72744081c3d8875b95843565d079600fd35bc733018ab9fa5853290288af13f7,ETH,5min,2026-09-22T01:00:00+00:00,180,179.9,0.035,Down,0.98,1090.3,0.97,1090.3,2,Down,1
2026-09-22T00:59:00+00:00,btc-updown-15m-1790037900,4779157,0x0c80ff07822022d8987e0bd4b0e12461bde2f99d13f3d587578dbd6e7aee87c9,BTC,15min,2026-09-22T01:00:00+00:00,60,59.9,0.045,Down,,0,0.999,0,0,Down,1
2026-09-22T01:01:01+00:00,sol-updown-5m-1790038800,4779302,0x6bf8f997239d0d28cc67e4a021582a4340defb8fd2b15738b39b93ab1a991048,SOL,5min,2026-09-22T01:05:00+00:00,240,238.0,0.505,Up,0.37,127.1,0.36,4453.77,62,,
2026-09-22T01:02:00+00:00,eth-updown-5m-1790038800,4779296,0xe47e7a7dfd9ffb7efbc67ff839fd3af36143e89865a5b204c952b6c57bea0bf5,ETH,5min,2026-09-22T01:05:00+00:00,180,179.9,0.505,Up,0.4,189.86,0.39,4997.31,60,,
2026-09-22T01:02:00+00:00,xrp-updown-15m-1790038800,4779297,0x578a006c2ecf571ec6b1b09b297f53ae7f1661ed4dd31db86c03f21cdf73b2d6,XRP,15min,2026-09-22T01:15:00+00:00,780,779.8,0.51,Up,0.49,65.22,0.48,5004.31,39,,
