ts_deteccion_utc,ts_prediccion_utc,market_id,strategy,activo,marco,decision,precio_yes_mercado,bot_consenso_lado,bot_consenso_n,bot_consenso_pct,mejor_ask_deteccion,profundidad_eur_deteccion,ratio_vs_stake_deteccion,sigue_fillable,decision_dry_run
2026-09-11T02:46:53+00:00,2026-09-11T02:46:35+00:00,4429088,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.495,Down,12,0.5833,0.32,987.69,940.7,1,DISPARARIA
2026-09-11T03:01:24+00:00,2026-09-11T03:01:22+00:00,4429146,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.58,Down,7,0.5714,0.26,612.55,583.4,1,DISPARARIA
2026-09-11T04:05:19+00:00,2026-09-11T04:05:03+00:00,4429942,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_YES,0.505,Up,3,1.0,0.69,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T05:00:58+00:00,2026-09-11T05:00:39+00:00,4431593,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.5,Down,9,0.7778,0.71,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T05:10:29+00:00,2026-09-11T05:09:57+00:00,4431619,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.5,Up,3,1.0,0.65,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T05:40:17+00:00,2026-09-11T05:39:52+00:00,4432430,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.505,Up,6,0.6667,0.45,577.49,550.0,1,DISPARARIA
2026-09-11T05:55:03+00:00,2026-09-11T05:54:43+00:00,4432944,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.495,Up,3,1.0,0.55,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T06:24:57+00:00,2026-09-11T06:24:30+00:00,4433549,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,4,1.0,0.5,40.55,38.6,1,DISPARARIA
2026-09-11T06:35:26+00:00,2026-09-11T06:35:17+00:00,4433646,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.55,Down,3,1.0,0.35,475.05,452.4,1,DISPARARIA
2026-09-11T07:05:27+00:00,2026-09-11T07:04:54+00:00,4433806,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.495,Up,6,1.0,0.69,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T07:25:30+00:00,2026-09-11T07:25:29+00:00,4433985,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_YES,0.31,Up,6,0.6667,0.19,396.29,377.4,1,DISPARARIA
2026-09-11T07:46:55+00:00,2026-09-11T07:46:23+00:00,4434081,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.495,Down,6,0.8333,0.84,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T08:01:28+00:00,2026-09-11T08:01:21+00:00,4434214,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.62,Down,6,0.6667,0.49,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T08:51:39+00:00,2026-09-11T08:51:15+00:00,4434541,MOMENTUM_IBS_15M_BALLENA,SOL,15min,BUY_NO,0.495,Down,7,1.0,0.78,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T08:55:54+00:00,2026-09-11T08:55:31+00:00,4434573,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.505,Down,3,1.0,0.55,0.0,0.0,0,NO_dispara_sin_libro
2026-09-11T09:02:06+00:00,2026-09-11T09:01:53+00:00,4434581,MOMENTUM_IBS_5M_BALLENA,SOL,5min,BUY_NO,0.53,Down,9,0.6667,0.49,2.45,2.3,0,NO_dispara_sin_libro
