market_id,subtype,outcome_real,n_wallets_sospechosas_activas,wallets_vistas,resultado_nuestro
2854849,SOL#15min,NO,2,0x3deac23f85896126e9fc8134247a643092087b7b;0xcb5c1844d9a5b39d3747ca92af659491fb036b2b,PERDIDA
2855012,SOL#15min,NO,1,0x3deac23f85896126e9fc8134247a643092087b7b,PERDIDA
2855005,ETH#15min,NO,2,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d;0x3deac23f85896126e9fc8134247a643092087b7b,PERDIDA
2856614,ETH#15min,NO,0,,PERDIDA
2859996,ETH#15min,NO,0,,PERDIDA
2865056,ETH#15min,NO,0,,PERDIDA
2865092,SOL#15min,YES,1,0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,GANANCIA
2870249,SOL#15min,YES,0,,GANANCIA
2872737,SOL#15min,NO,2,0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2873446,ETH#15min,NO,0,,PERDIDA
2873522,SOL#15min,YES,0,,GANANCIA
2874018,SOL#15min,NO,1,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
2876185,SOL#15min,YES,0,,GANANCIA
2882347,SOL#15min,NO,0,,PERDIDA
2887339,ETH#15min,NO,0,,PERDIDA
2887426,SOL#15min,YES,0,,GANANCIA
2890527,SOL#15min,NO,2,0xb798fd5d803d52a15b2708d24b54c4216fe237ca;0xce25e214d5cfe4f459cf67f08df581885aae7fdc,PERDIDA
