timestamp_utc,market_id,question,end_date,horas_a_vencimiento,precio_yes,direccion,votos_favor,votos_contra,total_votos,edge_medio,entropia,factor_consenso,volatilidad,factor_vol,conviction_score,estable,kelly_recomendado,estrategias
2026-07-09T06:13:51+00:00,2840790,"Bitcoin Up or Down - July 8, 11:45PM-12:00AM ET",2026-07-09T04:00:00,0.2,0.495,BUY_NO,1,0,1,0.0306,0.0,1.0,0.0,0.8,0.2407,True,0.0481,GBM_LATE_15M
2026-07-09T06:13:51+00:00,2795856,"Will the price of Ethereum be above $1,700 on July 11?",2026-07-11T16:00:00,64.0,0.745,BUY_NO,1,0,1,0.0487,0.0,1.0,0.0,0.8,0.2398,True,0.048,PRICE_TARGET_GBM
2026-07-09T06:13:51+00:00,2795869,"Will the price of Bitcoin be between $64,000 and $66,000 on July 11?",2026-07-11T16:00:00,64.0,0.14,BUY_NO,1,0,1,0.035,0.0,1.0,0.0,0.8,0.2393,True,0.0479,WEEKLY_PRICE
2026-07-09T06:13:51+00:00,2842616,"Solana Up or Down - July 9, 1:30AM-1:45AM ET",2026-07-09T05:45:00,0.2,0.495,BUY_NO,1,0,1,0.0291,0.0,1.0,0.0,0.8,0.2388,True,0.0478,GBM_LATE_15M
2026-07-09T06:13:51+00:00,2842562,"Solana Up or Down - July 9, 1:00AM-1:15AM ET",2026-07-09T05:15:00,0.2,0.415,BUY_NO,1,0,1,0.0285,0.0,1.0,0.0,0.8,0.2381,True,0.0476,GBM_LATE_15M
2026-07-09T06:13:51+00:00,2840170,"Solana Up or Down - July 8, 9:45PM-10:00PM ET",2026-07-09T02:00:00,0.2,0.505,BUY_NO,1,0,1,0.0272,0.0,1.0,0.0,0.8,0.2364,True,0.0473,GBM_LATE_15M
2026-07-09T06:13:51+00:00,2840659,"Ethereum Up or Down - July 8, 11:00PM-11:15PM ET",2026-07-09T03:15:00,0.1,0.315,BUY_NO,1,0,1,0.0268,0.0,1.0,0.0,0.8,0.2359,True,0.0472,GBM_LATE_15M
2026-07-09T06:13:51+00:00,2840699,"XRP Up or Down - July 8, 11:15PM-11:30PM ET",2026-07-09T03:30:00,0.2,0.505,BUY_YES,1,0,1,0.0266,0.0,1.0,0.0,0.8,0.2357,True,0.0471,GBM_LATE_15M
2026-07-09T06:13:51+00:00,2833075,"Will the price of Bitcoin be between $58,000 and $60,000 on July 14?",2026-07-14T16:00:00,136.0,0.135,BUY_NO,1,0,1,0.03,0.0,1.0,0.0,0.8,0.233,True,0.0466,WEEKLY_PRICE
2026-07-09T06:13:51+00:00,2784640,"Will the price of Bitcoin be between $64,000 and $66,000 on July 10?",2026-07-10T16:00:00,40.0,0.13,BUY_NO,1,0,1,0.025,0.0,1.0,0.0,0.8,0.2268,True,0.0454,WEEKLY_PRICE
2026-07-09T06:13:51+00:00,2840171,"XRP Up or Down - July 8, 9:45PM-10:00PM ET",2026-07-09T02:00:00,0.2,0.49,BUY_YES,1,1,2,0.046,0.9885,0.0115,0.0,0.8,0.1117,True,0.0223,GBM_LATE_15M
2026-07-09T06:13:51+00:00,2839896,"Solana Up or Down - July 8, 9:00PM-9:05PM ET",2026-07-09T01:05:00,0.1,0.5,BUY_NO,1,1,2,0.0459,0.9995,0.0005,0.0,0.8,0.1015,True,0.0203,ORDER_FLOW_5M
2026-07-09T06:13:51+00:00,2839771,"Ethereum Up or Down - July 8, 8:45PM-9:00PM ET",2026-07-09T01:00:00,0.2,0.505,BUY_YES,1,1,2,0.0301,0.9885,0.0115,0.0,0.8,0.0918,True,0.0184,GBM_LATE_15M
