fuente,ts_utc,activo,marco,slug,market_id,ini,fin,resto_s,p_justo,p_justo_prev,direccion,ref_twap,spot,edad_tick_s,ask,profundidad_eur,ratio_vs_stake,vwap_fill,fill_completo,lat_libro_ms,error
polybolt,2026-09-24T15:57:31.866+00:00,BNB,5m,bnb-updown-5m-1790265300,4883048,1790265300,1790265600,148.1,0.4656,0.6551,Down,780.213662116,780.17549483,0.69,0.61,55.97,53.3,0.61,True,51,
polybolt,2026-09-24T15:57:31.866+00:00,BNB,15m,bnb-updown-15m-1790264700,4882931,1790264700,1790265600,148.1,0.0895,0.1992,Down,780.7694233451667,780.17549483,0.69,0.91,1712.02,1630.5,0.91,True,65,
polybolt,2026-09-24T15:57:32.399+00:00,BTC,15m,btc-updown-15m-1790264700,4882934,1790264700,1790265600,147.6,0.8092,0.9244,Down,84355.92260124916,84395.46832243,0.23,0.25,179.71,171.2,0.25,True,206,
polybolt,2026-09-24T15:57:31.866+00:00,DOGE,5m,doge-updown-5m-1790265300,4883047,1790265300,1790265600,148.1,0.4066,0.6203,Down,0.09561984716666667,0.09559203,0.69,0.68,163.9,156.1,0.68,True,255,
polybolt,2026-09-24T15:57:42.372+00:00,XRP,15m,xrp-updown-15m-1790264700,4882924,1790264700,1790265600,137.6,0.5316,0.4011,Up,1.514259736,1.51439143,0.19,0.53,27.59,26.3,0.53,True,183,
polybolt,2026-09-24T15:57:42.372+00:00,XRP,5m,xrp-updown-5m-1790265300,4883045,1790265300,1790265600,137.6,0.4888,0.3607,Up,1.5144382521666666,1.51439143,0.19,0.47,25.77,24.5,0.47,True,244,
polybolt,2026-09-24T15:57:47.621+00:00,DOGE,15m,doge-updown-15m-1790264700,4882933,1790264700,1790265600,132.4,0.5032,0.4105,Up,0.09566010716666667,0.09566097,0.46,0.49,7.5,7.1,0.49,True,54,
polybolt,2026-09-24T15:57:54.436+00:00,SOL,5m,sol-updown-5m-1790265300,4883044,1790265300,1790265600,125.6,0.6455,0.7484,Down,116.14861917200001,116.18269937,0.25,0.4,14.35,13.7,0.4,True,74,
polybolt,2026-09-24T15:57:59.215+00:00,DOGE,5m,doge-updown-5m-1790265300,4883047,1790265300,1790265600,120.8,0.4693,0.586,Down,0.09561984716666667,0.095612,0.06,0.56,42.25,40.2,0.56,True,54,
polybolt,2026-09-24T15:58:02.780+00:00,ETH,5m,eth-updown-5m-1790265300,4883049,1790265300,1790265600,117.2,0.4314,0.5146,Down,2681.921375019,2681.66,0.62,0.58,315.41,300.4,0.58,True,68,
polybolt,2026-09-24T15:58:04.207+00:00,ETH,15m,eth-updown-15m-1790264700,4882922,1790264700,1790265600,115.8,0.7529,0.8554,Down,2680.3611552048333,2681.38500075,0.05,0.23,18.8,17.9,0.23,True,47,
polybolt,2026-09-24T15:58:04.207+00:00,XRP,15m,xrp-updown-15m-1790264700,4882924,1790264700,1790265600,115.8,0.3738,0.4616,Down,1.514259736,1.51378812,0.05,0.58,14.1,13.4,0.58,True,54,
polybolt,2026-09-24T15:58:04.207+00:00,XRP,5m,xrp-updown-5m-1790265300,4883045,1790265300,1790265600,115.8,0.3286,0.4144,Down,1.5144382521666666,1.51378812,0.05,0.63,67.73,64.5,0.63,True,58,
polybolt,2026-09-24T15:58:04.207+00:00,SOL,15m,sol-updown-15m-1790264700,4882935,1790264700,1790265600,115.8,0.6777,0.7643,Down,116.11645023633334,116.15607718,0.05,0.38,21.56,20.5,0.38,True,125,
polybolt,2026-09-24T15:58:13.491+00:00,BTC,5m,btc-updown-5m-1790265300,4883046,1790265300,1790265600,106.5,0.5702,0.6558,Down,84371.95000429917,84377.8500075,0.24,0.45,1362.69,1297.8,0.45,True,48,
polybolt,2026-09-24T15:58:15.357+00:00,SOL,5m,sol-updown-5m-1790265300,4883044,1790265300,1790265600,104.6,0.5979,0.7291,Down,116.14861917200001,116.16754936,0.2,0.42,15.05,14.3,0.42,True,49,
polybolt,2026-09-24T15:58:23.418+00:00,ETH,5m,eth-updown-5m-1790265300,4883049,1790265300,1790265600,96.6,0.5005,0.3953,Up,2681.921375019,2681.92303141,0.26,0.58,43.54,41.5,0.58,True,60,
polybolt,2026-09-24T15:58:24.421+00:00,XRP,5m,xrp-updown-5m-1790265300,4883045,1790265300,1790265600,95.6,0.3445,0.2389,Up,1.5144382521666666,1.51394697,0.13,0.42,30.72,29.3,0.42,True,68,
polybolt,2026-09-24T15:58:24.421+00:00,XRP,15m,xrp-updown-15m-1790264700,4882924,1790264700,1790265600,95.6,0.3994,0.2852,Up,1.514259736,1.51394697,0.13,0.48,11.7,11.1,0.48,True,70,
polybolt,2026-09-24T15:58:28.418+00:00,DOGE,5m,doge-updown-5m-1790265300,4883047,1790265300,1790265600,91.6,0.4223,0.55,Down,0.09561984716666667,0.095605,0.26,0.61,3.66,3.5,0.61,True,56,
polybolt,2026-09-24T15:58:28.419+00:00,DOGE,15m,doge-updown-15m-1790264700,4882933,1790264700,1790265600,91.6,0.2335,0.3469,Down,0.09566010716666667,0.095605,0.26,0.79,32.07,30.5,0.79,True,59,
polybolt,2026-09-24T15:58:28.668+00:00,BNB,5m,bnb-updown-5m-1790265300,4883048,1790265300,1790265600,91.3,0.4257,0.5097,Down,780.213662116,780.16093133,0.51,0.63,19.08,18.2,0.63,True,61,
polybolt,2026-09-24T15:58:29.853+00:00,SOL,15m,sol-updown-15m-1790264700,4882935,1790264700,1790265600,90.1,0.7784,0.8588,Down,116.11645023633334,116.16803214,0.69,0.24,5.36,5.1,0.24,True,66,
polybolt,2026-09-24T15:58:29.852+00:00,BTC,15m,btc-updown-15m-1790264700,4882934,1790264700,1790265600,90.1,0.7351,0.8482,Down,84355.92260124916,84374.10517046,0.69,0.28,84.34,80.3,0.28,True,71,
polybolt,2026-09-24T15:58:33.222+00:00,ETH,15m,eth-updown-15m-1790264700,4882922,1790264700,1790265600,86.8,0.98,0.8924,Up,2680.3611552048333,2682.60590569,0.07,0.95,298.53,284.3,0.95,True,51,
polybolt,2026-09-24T15:58:33.724+00:00,BTC,5m,btc-updown-5m-1790265300,4883046,1790265300,1790265600,86.3,0.7063,0.6025,Up,84371.95000429917,84387.04062075,0.57,0.72,547.47,521.4,0.72,True,62,
