evento_timestamp_utc,market_id,strategy,subtype,direction,precio_original,stake_eur,ratio_original,precio_contrario,muestras_json,ratio_contrario_inicial,ratio_contrario_max,ratio_contrario_min
2026-08-14T12:11:24+00:00,3563819,FAVORITO_CONFIRMADO,SOL#240min,BUY_YES,0.555,1.05,280.9,0.445,"[[0.0,0.0,0.58],[5.1,0.0,0.58],[10.3,0.0,0.58],[15.5,0.0,0.58],[20.7,0.0,0.58],[25.8,0.0,0.58]]",0.0,0.0,0.0
2026-08-14T12:11:21+00:00,3563838,FAVORITO_CONFIRMADO,XRP#5min,BUY_YES,0.56,1.05,253.4,0.44,"[[0.0,0.0,0.78],[5.1,0.0,0.86],[10.4,0.0,0.72],[15.6,0.0,0.76],[20.7,0.0,0.76],[25.8,0.0,0.83]]",0.0,0.0,0.0
2026-08-14T12:11:26+00:00,3563838,UPDOWN_GBM,XRP#5min,BUY_YES,0.5,1.05,193.4,0.5,"[[0.0,0.0,0.71],[5.4,0.0,0.84],[10.8,0.0,0.68],[15.9,0.0,0.75],[21.0,0.0,0.82],[26.2,0.0,0.88]]",0.0,0.0,0.0
2026-08-14T12:11:26+00:00,3563837,STREAK_FADE_5M,SOL#5min,BUY_YES,0.495,1.05,354.9,0.505,"[[0.0,0.0,0.93],[5.2,0.0,0.93],[10.8,0.0,0.93],[15.8,0.0,0.96],[21.0,0.0,0.96],[26.2,0.0,0.97]]",0.0,0.0,0.0
2026-08-14T12:11:25+00:00,3563835,STREAK_FADE_5M,ETH#5min,BUY_YES,0.475,1.05,575.7,0.525,"[[0.0,0.0,0.74],[5.2,0.0,0.83],[10.8,0.0,0.83],[15.9,0.0,0.87],[21.0,0.0,0.87],[26.3,0.0,0.92]]",0.0,0.0,0.0
2026-08-14T12:11:24+00:00,3563835,UPDOWN_GBM,ETH#5min,BUY_YES,0.475,1.05,593.9,0.525,"[[0.0,0.0,0.74],[5.3,0.0,0.83],[10.9,0.0,0.83],[16.0,0.0,0.87],[21.1,0.0,0.87],[26.4,0.0,0.92]]",0.0,0.0,0.0
2026-08-14T12:11:27+00:00,3563839,UPDOWN_GBM,BTC#5min,BUY_YES,0.455,1.05,1953.3,0.545,"[[0.0,0.0,0.76],[5.4,0.0,0.83],[11.1,0.0,0.85],[16.2,0.0,0.84],[21.3,0.0,0.86],[26.9,0.0,0.92]]",0.0,0.0,0.0
2026-08-14T12:16:11+00:00,3563849,BALLENAS_CONFIRMADAS_15M,SOL#15min,BUY_YES,0.66,1.05,113.6,0.34,"[[0.0,12.8,0.34],[5.4,67.1,0.32],[10.7,74.8,0.32],[16.0,78.2,0.32],[21.5,88.7,0.31],[27.1,98.8,0.3]]",12.8,98.8,12.8
2026-08-14T12:16:50+00:00,3563851,FAVORITO_CONFIRMADO_15MIN_ALTACONVICCION,BNB#15min,BUY_YES,0.72,1.05,14.0,0.28,"[[0.0,12.6,0.27],[5.4,18.4,0.25],[10.7,7.2,0.29],[16.1,8.6,0.28],[21.7,0.0,0.31],[26.9,0.0,0.3]]",12.6,18.4,0.0
2026-08-14T12:18:07+00:00,3563855,FAVORITO_CONFIRMADO,ETH#15min,BUY_YES,0.73,1.05,589.5,0.27,"[[0.0,0.0,0.31],[5.4,0.0,0.33],[10.5,0.0,0.33],[16.0,0.0,0.33],[21.7,59.7,0.27],[26.8,143.0,0.27]]",0.0,143.0,0.0
