timestamp_utc,rank_combined,address,username,pnl,vol,rank_pnl,rank_vol,score,verified_badge,x_username
2026-06-19T08:02:40+00:00,1,0xeebde7a0e019a63e6b476eb425505b7b3e6eba30,Bonereaper,183168.72002906317,37254632.07626499,3,0,0.964,False,
2026-06-19T08:02:40+00:00,2,0xdf17f4a8dd01a4cfa6fc3da323a2baee5f8697d1,PatrocIus,125593.86366932145,31850759.941700004,8,1,0.896,False,
2026-06-19T08:02:40+00:00,3,0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,151833.77431721415,15210495.204266004,6,10,0.848,False,
2026-06-19T08:02:40+00:00,4,0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,,112968.57529297145,28047246.000953,13,2,0.828,False,
2026-06-19T08:02:40+00:00,5,0xee65685de42f8de9a03b4c53ee77d56a20d2cfc9,0x50f7,121982.88976750808,16390484.756908003,9,9,0.82,False,
2026-06-19T08:02:40+00:00,6,0x06dc51826bc524d9a83770e7de9dd7e005b04524,0x06dc51826bc524d9a83770e7de9dd7e005b0452,105543.70549258695,24009238.680437997,14,3,0.808,False,
2026-06-19T08:02:40+00:00,7,0x9501ec3b8b3e330ae593ebe5b071c3d11b648223,horizon.,85410.663304,14725976.431862,18,11,0.696,False,
2026-06-19T08:02:40+00:00,8,0xce25e214d5cfe4f459cf67f08df581885aae7fdc,0xcE25E214D5cfE4f459cf67F08DF581885AAE7Fdc-1777575398144,117854.72659790667,8668480.014451997,11,24,0.676,False,
2026-06-19T08:02:40+00:00,9,0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,bobe2.1,74019.459258,18640405.627466,23,7,0.668,False,
2026-06-19T08:02:40+00:00,10,0xf284ad6d607f777f34bc643cea587c33a886b9f9,strike123,467253.7928659568,3746218.9669149998,0,,0.6,False,
2026-06-19T08:02:40+00:00,11,0x0f0edbb5fca07a7efffe283624f085a7b2e2a019,prayingnotbroke,225020.685792,622024.5894010001,1,,0.588,False,
2026-06-19T08:02:40+00:00,12,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews2,204973.8981302501,2377442.839706,2,,0.576,False,aenews
2026-06-19T08:02:40+00:00,13,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,CAR-GangVersion,66172.659345228,14157607.841587,27,13,0.572,False,
2026-06-19T08:02:40+00:00,14,0x55be7aa03ecfbe37aa5460db791205f7ac9ddca3,coinman2,158620.8063362611,1850914.4502869998,4,,0.552,False,
2026-06-19T08:02:40+00:00,15,0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,Dropper,158542.754008535,673779.806155,5,,0.54,False,DropperPM
